'perfect' gold bar;lingotto d'oro "perfetto".
Imbued saradomin max hood;Cappuccio saradomin max impregnato
Imbued zamorak cape (broken);Mantello Zamorak Infuso (rotto)
Imbued zamorak cape (l);Mantello di zamorak intriso (l)
Imbued zamorak cape;Mantello di zamorak intriso
Imbued saradomin max cape (l);Mantello saradomin max intriso (l)
Imbued saradomin cape (l);Mantello Saradomin intriso (l)
Imbued saradomin max cape (broken);Mantello Saradomin Max Infuso (rotto)
Imbued tephra;Tefra imbevuta
Imbued saradomin max cape;Mantello saradomin max impregnato
Imbued zamorak max cape;Mantello massimo di Zamorak impregnato
Imp;Imp
Imp mask;Maschera da folletto
Imcando hammer;Martello Imcando
Imcando hammer (broken);Martello Imcando (rotto)
Imp repellent;Repellente per gli spiriti maligni
Imp champion scroll;Pergamena del campione imp
Imbued zamorak max hood;Cappuccio max in zamorak impregnato
Imbued zamorak max cape (broken);Mantello massimo di zamorak infuso (rotto)
Imbued zamorak max cape (l);Mantello massimo zamorak impregnato (l)
Imcandoria's fall;La caduta di Imcandoria
Impling jar;Vaso implicante
Impling scroll;Pergamena implicante
Incomplete light ballista;Balista leggera incompleta
Imp-in-a-box(1);Imp in una scatola(1)
Incense burners;Bruciatori di incenso
Imp-in-a-box(2);Imp in una scatola(2)
Imp statue;Statua del diavoletto
Incomplete blaster;Blaster incompleto
Incomplete heavy ballista;Balista pesante incompleta
Incantation;Incantesimo
Infernal cape;Capo infernale
Infernal chart;Carta infernale
Infernal axe (or);Ascia infernale (o)
Infernal cape (l);Capo Infernale (l)
Incomplete pizza;Pizza incompleta
Incomplete stew;Stufato incompleto
Infernal axe;Ascia infernale
Infernal axe (uncharged);Ascia infernale (scarica)
Infernal cape (broken);Mantello Infernale (rotto)
Inert locator orb;Sfera di localizzazione inerte
Infernal mage;Mago infernale
Infernal max cape (l);Mantello massimo infernale (l)
Infernal eel;Anguilla infernale
Infernal harpoon;Arpione infernale
Infernal pickaxe;Piccone infernale
Infernal max cape;Mantello massimo infernale
Infernal max cape (broken);Mantello massimo infernale (rotto)
Infernal max hood;Cappa massima infernale
Infernal harpoon (or);Arpione infernale (o)
Infernal harpoon (uncharged);Arpione infernale (scaricato)
Infinity top;Superiore dell'infinito
Infused wand;Bacchetta infusa
Infinity boots;Stivali dell'infinito
Infernal pickaxe (uncharged);Piccone infernale (scarico)
Infernal pickaxe (or);Piccone infernale (o)
Infinity gloves;Guanti dell'infinito
Initiate cuisse;Iniziare la coscia
Infinity bottoms;Fondo infinito
Infinity hat;Cappello dell'infinito
Initiate harness m;Imbracatura avviata m
Inquisitor's plateskirt;Gonna a piastre dell'Inquisitore
Inoculation bracelet;Bracciale per l'inoculazione
Inquisitor's mace;Mazza dell'Inquisitore
Inquisitor's great helm;Il grande elmo dell'Inquisitore
Inquisitor's hauberk;Usbergo dell'Inquisitore
Inquisitor's armour set;Set armatura dell'Inquisitore
Initiate hauberk;Usbergo iniziato
Insect repellent;Repellente per insetti
Initiate sallet;Iniziare la salletta
Instruction manual;Manuale di istruzioni
Invitation letter;Lettera d'invito
Iorwerth's message;Il messaggio di Iorwerth
Iorwerth camp teleport;Teletrasporto del campo di Iorwerth
Inverted santa hat;Cappello da Babbo Natale invertito
Invitation list;Elenco degli inviti
Invasion plans;Piani di invasione
Inversion potion;Pozione di inversione
Insulated boots;Stivali isolanti
Intelligence;Intelligenza
Intel report;Rapporto dell'Intelligence
Iron arrow(p++);Freccia di ferro(p++)
Irit leaf;Foglia d'Irit
Irit seed;Seme di Irit
Iron arrowtips;Punte di freccia in ferro
Iou;Io
Iron arrow(p);Freccia di ferro(p)
Iron arrow(p+);Freccia di ferro(p+)
Iron arrow;Freccia di ferro
Irit potion (unf);Pozione Irit (unf)
Iron 2h sword;Spada di ferro 2h
Iron battleaxe;Ascia da battaglia in ferro
Iron boots;Stivali di ferro
Iron bolts (p+);Bulloni di ferro (p+)
Iron axe head;Testa d'ascia in ferro
Iron axe;Ascia di ferro
Iron bolts;Bulloni di ferro
Iron bolts (p);Bulloni di ferro (p)
Iron bolts (unf);Bulloni di ferro (unf)
Iron bar;Sbarra di ferro
Iron bolts (p++);Bulloni di ferro (p++)
Iron claws;Artigli di ferro
Iron dagger(p);Pugnale di ferro(p)
Iron chainbody;Corpo catena in ferro
Iron dart;Dardo di ferro
Iron crossbow;Balestra di ferro
Iron dagger(p+);Pugnale di ferro(p+)
Iron crossbow (u);Balestra di ferro (u)
Iron dagger(p++);Pugnale di ferro(p++)
Iron brutal;Ferro brutale
Iron dagger;Pugnale di ferro
Iron dart tip;Punta del dardo in ferro
Iron dart(p);Dardo di ferro(p)
Iron fire arrow;Freccia di ferro infuocata
Iron fire arrow (lit);Freccia di fuoco di ferro (accesa)
Iron defender;Difensore di ferro
Iron dart(p+);Dardo di ferro(p+)
Iron defender (l);Difensore di ferro (l)
Iron defender (broken);Difensore di ferro (rotto)
Iron dart(p++);Dardo di ferro(p++)
Iron dragon mask;Maschera del drago di ferro
Iron full helm;Elmo completo in ferro
Iron hasta(p);Ferro hasta(p)
Iron full helm (g);Elmo completo di ferro (g)
Iron hasta;Ferro da stiro
Iron gloves;Guanti di ferro
Iron gold-trimmed set (sk);Set in ferro con finiture dorate (sk)
Iron full helm (t);Elmo completo di ferro (t)
Iron halberd;Alabarda in ferro
Iron gold-trimmed set (lg);Parure in ferro con finiture dorate (lg)
Iron hasta(kp);Ferro hasta(kp)
Iron kiteshield (g);Scudo da aquilone in ferro (g)
Iron kiteshield;Scudo da aquilone in ferro
Iron javelin heads;Teste di giavellotto in ferro
Iron javelin(p+);Giavellotto di ferro(p+)
Iron javelin(p++);Giavellotto di ferro(p++)
Iron hasta(p+);Ferro hasta(p+)
Iron javelin(p);Giavellotto di ferro(p)
Iron key;Chiave di ferro
Iron hasta(p++);Ferro hasta(p++)
Iron javelin;Giavellotto di ferro
Iron nails;Chiodi di ferro
Iron kiteshield (t);Scudo da aquilone in ferro (t)
Iron limbs;Arti di ferro
Iron med helm;Elmo medico di ferro
Iron knife;Coltello di ferro
Iron knife(p);Coltello di ferro(p)
Iron knife(p++);Coltello di ferro(p++)
Iron knife(p+);Coltello di ferro(p+)
Iron longsword;Spada lunga di ferro
Iron mace;Mazza di ferro
Iron platebody;Corpo in lamiera di ferro
Iron ore;Minerale di ferro
Iron platelegs;Gambe in lamiera di ferro
Iron oxide;Ossido di ferro
Iron pickaxe (nz);Piccone di ferro (nz)
Iron ore fragment;Frammento di minerale di ferro
Iron platebody (t);Corpo in lamiera di ferro (t)
Iron platebody (g);Corpo in lamiera di ferro (g)
Iron pick head;Testa del piccone in ferro
Iron pickaxe;Piccone di ferro
Iron set (sk);Set da ferro (sk)
Iron plateskirt;Gonna in ferro
Iron railings;Ringhiere in ferro
Iron scimitar;Scimitarra di ferro
Iron plateskirt (g);Gonna in ferro (g)
Iron sheet;Lamiera di ferro
Iron platelegs (t);Gambe in lamiera (t)
Iron platelegs (g);Gambe in piastra di ferro (g)
Iron plateskirt (t);Gonna in ferro (t)
Iron set (lg);Set ferro (lg)
Iron spear(kp);Lancia di ferro (kp)
Iron sq shield;Scudo quadrato in ferro
Iron spear(p++);Lancia di ferro(p++)
Iron thrownaxe;Ascia lanciata in ferro
Iron spear(p);Lancia di ferro(p)
Iron spit;Spiedo di ferro
Iron sword;Spada di ferro
Iron spear;Lancia di ferro
Iron spear(p+);Lancia di ferro(p+)
Iron sickle;Falce di ferro
Iron warhammer;Martello da guerra di ferro
Item list;Elenco articoli
Ironman helm;Elmo dell'Ironman
Isafdar;Isafdar
Iron trimmed set (sk);Set con finiture in ferro (sk)
Ironman platelegs;Gambe a piastra Ironman
Item;Articolo
Iron trimmed set (lg);Set finiture in ferro (lg)
Ironman platebody;Corpo in lamiera Ironman
Isafdar painting;Dipinto di Isafdar
Jade bolt tips;Punte dei bulloni in giada
Jack lantern mask;Maschera di Jack Lanterna
Jade amulet (u);Amuleto di giada (u)
Ivandis flail;Mazzafrusto di Ivandis
Jade bolts;Bulloni di giada
Jade bolts (e);Bulloni di giada (e)
Jade amulet;Amuleto di giada
Ivory comb;Pettine d'avorio
Jade;Giada
Jackal bone;Osso di sciacallo
Jade machete;Machete di giada
Jangerberries;Bacche di janger
Jade bracelet;Bracciale di giada
Jail key;Chiave della prigione
Jade dragon bolts;Dardi del drago di giada
Jalrek-jad;Jalrek-jad
Jade dragon bolts (e);Dardi del drago di giada (e)
Jal-nib-rek;Jal-nib-rek
Jade ring;Anello di giada
Jade necklace;Collana di giada
Jar generator;Generatore di barattoli
Jar of eyes;Barattolo di occhi
Jar of darkness;Vaso dell'oscurità
Jar of miasma;Vaso di miasma
Jar of dreams;Barattolo di sogni
Jar of dirt;Barattolo di terra
Jar of chemicals;Barattolo di prodotti chimici
Jar of decay;Vaso di decomposizione
Jangerberry seed;Seme di jangerberry
Jar of sand;Barattolo di sabbia
Jar of smoke;Barattolo di fumo
Javelin shaft;Asta del giavellotto
Javelin;Giavellotto
Jar of spirits;Vaso di liquori
Jar of stone;Vaso di pietra
Jelly;Gelatina
Jar of souls;Vaso delle anime
Jar of swamp;Vaso di palude
Jester;Giullare
Jester cape;Mantello da giullare
Jogre bone;Osso di Jogre
Jogre bones;Ossa di Jogre
Jester hat;Cappello da giullare
Jewellery;Gioielleria
Jogre bonemeal;Farina di ossa di Jogre
Jester scarf;Sciarpa da giullare
Jewellery of jubilation;Gioielli di giubilo
Jogre champion scroll;Pergamena del campione di Jogre
Jewels;Gioielli
Jonas mask;Maschera di Jonas
Jug;Brocca
Jug of bad wine;Brocca di vino cattivo
Jungle camo legs;Gambe mimetiche giungla
Jug of vinegar;Brocca di aceto
Journal page;Pagina del diario
Jungle camo top;Top mimetico giungla
Jug of water;Brocca d'acqua
Juice-coated brush;Pennello ricoperto di succo
Journal;Diario
Jug of wine;Brocca di vino
Jungle demon mask;Maschera da demone della giungla
Justiciar chestguard;Corazza toracica del giudice
Junk;Robaccia
Justiciar armour set;Set armatura da giustiziere
Juniper charcoal;Carbone di ginepro
Justiciar legguards;Gambali del giudice
Justiciar's hand;La mano del giudice
Jute fibre;Fibra di iuta
Justiciar faceguard;Protezione facciale del giudice
Juniper logs;Tronchi di ginepro
Jute seed;Seme di iuta
K sigil;Sigillo K
Kandarin headgear 3;Copricapo Kandarin 3
Kalphite soldier;Soldato Kalfita
Karambwan paste;Pasta di Karambwan
Kandarin headgear 4;Copricapo Kandarin 4
Kandarin headgear 2;Copricapo Kandarin 2
Kandarin headgear;Copricapo Kandarin
Kalphite princess;Principessa Kalfita
Kandarin headgear 1;Copricapo Kandarin 1
Karamja gloves;Guanti Karamja
Karamja gloves 1;Guanti Karamja1
Karamja gloves 4;Guanti Karamja 4
Karambwan vessel;Nave Karambwan
Karambwanji paste;Pasta di Karambwanji
Karamja;Karamja
Karamja gloves 2;Guanti Karamja 2
Karamja painting;Dipinto di Karamja
Karamja gloves 3;Guanti Karamja 3
Karambwanji;Karambwanji
Karamjan monkey;Scimmia Karamjan
Karamthulhu;Karamthulhu
Karamjan monkey greegree;Saluto della scimmia Karamjan
Karamjan rum;Rum Karamjan
Karil's coif 0;La cuffia di Karil 0
Karidian disguise;Travestimento karidiano
Karil's coif 25;Cuffia di Karil 25
Karil's armour set;Set armatura di Karil
Karil's coif;La cuffia di Karil
Karil's coif 100;Cuffia di Karil 100
Karil's crossbow;La balestra di Karil
Karil's crossbow 100;Balestra di Karil 100
Karil's leatherskirt;La gonna di pelle di Karil
Karil's crossbow 0;Balestra di Karil 0
Karil's leatherskirt 0;La gonna di pelle di Karil 0
Karil's crossbow 25;Balestra di Karil 25
Karil's crossbow 75;Balestra di Karil 75
Karil's coif 75;Cuffia di Karil 75
Karil's crossbow 50;Balestra di Karil 50
Karil's coif 50;Cuffia di Karil 50
Karil's leathertop 75;Il top in pelle di Karil 75
Karil's leathertop 0;Top in pelle di Karil 0
Karil's leatherskirt 100;Gonna di pelle di Karil 100
Karil's leathertop;Il top in pelle di Karil
Karil's leatherskirt 25;La gonna di pelle di Karil 25
Karil's leathertop 50;Il top in pelle di Karil 50
Karil's leatherskirt 50;La gonna di pelle di Karil 50
Karil's leathertop 100;Il top in pelle 100 di Karil
Karil's leathertop 25;Top in pelle di Karil 25
Karil's leatherskirt 75;La gonna di pelle di Karil 75
Kebab mix;Miscela di kebab
Kebbit teeth dust;Polvere dei denti di Kebbit
Katana;Katana
Kebbit claws;Artigli di kebbit
Kebab;Kebab
Kebbit spike;Punta di kebbit
Kbd heads;Teste Kbd
Kebbit bolts;Bulloni Kebbit
Kebbit teeth;Denti di kebbit
Kebbit;Kebbit
Kelp;Fuco
Keris(p);Keris(p)
Kelda stout;Kelda robusta
Keris;Keris
Keris(p+);Keris(p+)
Keg;Barile
Keg of beer;Barilotto di birra
Kelda hops;Kelda salta
Keldagrim portrait;Ritratto di Keldagrim
Kelda seed;Seme di Kelda
Key print;Stampa chiave
Key master teleport;Teletrasporto del maestro delle chiavi
Keystone crystal;Cristallo trapezoidale
Keys;Chiavi
Keris(p++);Keris(p++)
Key;Chiave
Key (elite);Chiave (élite)
Key master's key;Chiave principale
Kettle;Bollitore
Key (medium);Chiave (media)
Khazard armour;Armatura Khazard
Killer's knife;Il coltello dell'assassino
Kharidian headpiece;Copricapo Kharidiano
Kharedst's memoirs;Le memorie di Kharedst
Kharyrll teleport;Teletrasporto di Kharyrll
Khali brew;Birra Khali
Khazard teleport;Teletrasporto Khazard
Kgp id card;Carta d'identità Kgp
Khazard helmet;Elmo Khazard
Khazard cell keys;Chiavi della cella Khazard
Killerwatt;Killerwatt
Kindling;Accensione
Killing of a king;Uccisione di un re
Kitchen knife;Coltello da cucina
Killer's print;L'impronta dell'assassino
Kitchen;Cucina
Kitchen table;Tavolo da cucina
King worm;Re verme
King's message;Il messaggio del re
King arthur;Re Artù
Kodai (+)(2);Kodai (+)(2)
Kodai (-)(1);Kodai (-)(1)
Knight of ardougne;Cavaliere d'Ardougne
Kite shield;Scudo dell'aquilone
Kodai (+)(1);Kodai (+)(1)
Knife;Coltello
Knight's notes;Appunti del Cavaliere
Kodai (+)(4);Kodai (+)(4)
Klank's gauntlets;I guanti di Klank
Kodai (+)(3);Kodai (+)(3)
Kodai (-)(4);Kodai (-)(4)
Kodai wand;Bacchetta Kodai
Kodai (-)(2);Kodai (-)(2)
Kodai potion (2);Pozione Kodai (2)
Kodai potion (3);Pozione Kodai (3)
Kodai (-)(3);Kodai (-)(3)
Kodai potion (4);Pozione Kodai (4)
Kodai insignia;Insegne Kodai
Kodai potion (1);Pozione Kodai (1)
Kourend favour certificate;Certificato di favore Kourend
Kruk monkey greegree;Saluto della scimmia Kruk
Kq head;Testa Kq
Kq head (tattered);Testa Kq (stracciata)
Kree'arra;Kree'arra
Kristmas kebab;Kebab di Natale
Kruk jr;Kruk Jr
Kronos seed;Seme di Crono
Krandorian hops;Luppolo Krandoriano
Krandorian seed;Seme Krandoriano
Kraken tentacle;Tentacolo del Kraken
Kruk's paw;La zampa di Kruk
Kyatt legs;Gambe Kyatt
Kyatt fur;Pelliccia Kyatt
Kwuarm seed;Seme di Kwuarm
Kryket bat (4);Mazza Kryket (4)
Kwuarm potion (unf);Pozione Kwuarm (unf)
Kwuarm;Kwuarm
Kyatt hat;Cappello Kyatt
Kurask;Kurask
Kurask head;Testa di Kurask
Lantadyme;Lantadima
Lamp;Lampada
Ladder top;Parte superiore della scala
Lamp of knowledge;Lampada della conoscenza
Lantern lens;Lente lanterna
Lamp of the gatherer;Lampada del raccoglitore
Kyren fish (6);Pesce Kyren (6)
Kyatt top;Kyatt in alto
Lantadyme potion (unf);Pozione Lantadyme (unf)
Lantadyme seed;Seme di lantadima
Large cog;Ingranaggio grande
Large fossilised ribs;Grandi costole fossilizzate
Large fossilised skull;Grande cranio fossilizzato
Large map;Mappa grande
Large fossilised pelvis;Grande bacino fossilizzato
Large fossilised spine;Grande spina dorsale fossilizzata
Large enriched bone;Grande osso arricchito
Large landscape;Paesaggio di grandi dimensioni
Large fountain;Grande fontana
Large fossilised limbs;Grandi arti fossilizzati
Large rock;Grande roccia
Large oak bed;Grande letto in quercia
Large ornate key;Chiave grande decorata
Large statues;Grandi statue
Large storage unit;Ampio ripostiglio
Large pouch;Custodia grande
Large portrait;Ritratto di grandi dimensioni
Large orrery;Grande planetario
Large oven;Forno grande
Large spade;Grande vanga
Large teak bed;Ampio letto in teak
Larran's key;La chiave di Larran
Large water container;Grande contenitore per l'acqua
Larupia hat;Cappello Larupia
Larupia legs;Gambe larupiche
Large-leaf plant;Pianta a foglia larga
Large zombie monkey bonemeal;Farina di ossa di scimmia zombi grande
Larupia top;Parte superiore della Larupia
Larupia fur;Pelliccia di larupia
Lassar teleport;Teletrasporto di Lassar
Lathas' amulet;Amuleto di Lathas
Lava scale shard;Frammento di scaglia di lava
Lava eel;Anguilla lavica
Lava dragon bones;Ossa di drago di lava
Lava dragon bonemeal;Farina di ossa di drago lavico
Lava scale;Scaglia lavica
Lava battlestaff;Bastone da battaglia lavico
Lava staff upgrade kit;Kit di aggiornamento del personale lavico
Lava dragon mask;Maschera del drago di lava
Lava rune;Runa lavica
Law talisman;Talismano della legge
Lazy cat;Gatto pigro
Lazy hell cat;Gatto infernale pigro
Leaf-bladed spear;Lancia con lama a foglia
Law tiara;Tiara della legge
Leaf-bladed battleaxe;Ascia da battaglia con lama a foglia
Law rune;Runa della legge
League accomplishments scroll;Scorrimento dei risultati della lega
League hall;Sala della Lega
Leaf-bladed sword;Spada dalla lama a foglia
Leather;Pelle
Leaping sturgeon;Storione che salta
League tomato;Pomodoro della Lega
Leaping salmon;Salmone che salta
Leather body (g);Corpo in pelle (g)
Lean snail;Lumaca magra
Leather body;Corpo in pelle
League statue;Statua della Lega
Leaping trout;Trota che salta
Lean snail meat;Carne magra di lumaca
Leather chaps;Ghette in pelle
Leather chaps (g);Ghette in pelle (g)
Leather boots;Stivali in pelle
Lederhosen hat;Cappello in pelle
Leather gloves;Guanti in pelle
Leather vambraces;Parabraccia in pelle
Leaves;Foglie
Leather cowl;Cappuccio in pelle
Leckish fish (2);Pesce leccapiedi (2)
Leather shields flyer;Volantino con scudi in pelle
Lederhosen shorts;Pantaloncini di pelle
Left eye patch;Benda sull'occhio sinistro
Lederhosen top;Parte superiore dei pantaloni di pelle
Left boot;Stivale sinistro
Legends of the mountain;Leggende della montagna
Left skull half;Metà del cranio sinistro
Lemon;Limone
Legendary cocktail;Cocktail leggendario
Left-handed banana;Banana per mancini
Legs;Gambe
Letter to surok;Lettera a Surok
Leon's champion scroll;La pergamena del campione di Leon
Lesser magic cage;Gabbia magica minore
Lemon chunks;Pezzi di limone
Lemon slices;Fette di limone
Lens mould;Stampo per lenti
Leprechaun hat;Cappello da folletto
Lesser demon champion scroll;Pergamena del campione demoniaco minore
Letter;Lettera
Lesser demon mask;Maschera da demone minore
Light frame;Telaio leggero
Lever;Leva
Level 2 certificate;Certificato di livello 2
Level 3 certificate;Certificato di livello 3
Lever schematic;Schema della leva
Light bow tie;Papillon leggero
Light ballista;Balista leggera
Level 1 certificate;Certificato di livello 1
Lift manual;Manuale dell'ascensore
Light box;Scatola luminosa
Light infinity hat;Cappello infinito leggero
Light trousers;Pantaloni leggeri
Light tuxedo jacket;Giacca da smoking leggera
Light tax bag;Borsa fiscale leggera
Light tuxedo cuffs;Polsini da smoking leggeri
Light infinity colour kit;Kit colore Light Infinity
Light infinity top;Parte superiore infinita leggera
Light orb;Sfera luminosa
Light tuxedo shoes;Scarpe da smoking leggere
Light infinity bottoms;Fondo infinito leggero
Lil' destructor;Piccolo distruttore
Limestone brick;Mattone calcareo
Limestone altar;Altare in pietra calcarea
Lighthouse key;Chiave del faro
Lime slices;Fette di lime
Lime;Lime
Limestone;Calcare
Lime chunks;Pezzi di lime
Lil' zik;Piccolo zik
Lil' creator;Piccolo creatore
Limpwurt root;Radice di limpwurt
Limpwurt seed;Seme di limpwurt
List;Lista
Lit candle;Candela accesa
Lit black candle;Candela nera accesa
Lit bug lantern;Lanterna illuminata dagli insetti
Linum tirinum;Linum tirino
Linen;Biancheria
Liquid honey;Miele liquido
Lion toy;Giocattolo del leone
Locator orb;Sfera di localizzazione
Lit torch;Torcia accesa
Lizardman fang;Zanna dell'Uomo Lucertola
Little nightmare;Piccolo incubo
Lobster;Aragosta
Loach;Loach
Lobster pot;Pentola per aragosta
Lit strange object;Oggetto strano illuminato
Loar remains;Loar rimane
Locating crystal;Localizzazione del cristallo
Long kebbit spike;Punta lunga da kebbit
Logavano seed;Seme di Logavano
Logs and kindling;Tronchi e legna da ardere
Lockpick;Grimaldello
Long bone;Osso lungo
Long kebbit bolts;Bulloni lunghi a kebbit
Logs;Registri
Locust meat;Carne di locusta
Logavano fruit;Frutto di Logavano
Long pulley beam;Trave lunga della puleggia
Longbow (u);Arco lungo (u)
Long rope;Corda lunga
Long vine;Vite lunga
Looting bag;Borsa del saccheggio
Lovakengj banner;Stendardo Lovakengj
Longbow;Arco lungo
Longer pulley beam;Trave della puleggia più lunga
Lovakengj favour certificate;Certificato di favore di Lovakengj
Looting bag note;Nota sulla borsa del saccheggio
Loop half of key;Loop metà della chiave
Lovakite bar;Barra Lovakite
Lovakite ore;Minerale di lovakite
Lucky cutlass;Coltello fortunato
Lucky shot flag;Bandiera del colpo fortunato
Lumber order;Ordine del legname
Lovakengj scarf;Sciarpa Lovakengj
Low alcohol keg;Fusto a basso contenuto alcolico
Lucky impling jar;Barattolo portafortuna
Lovakengj hood;Cappuccio Lovakengj
Low-level plants;Piante di basso livello
Lumberjack top;Top da boscaiolo
Lumber patch;Toppa di legname
Lumberjack legs;Gambe da boscaiolo
Lumberyard teleport;Teletrasporto del deposito di legname
Lumberjack boots;Stivali da boscaiolo
Lumberjack hat;Cappello da boscaiolo
Lumbridge painting;Dipinto di Lumbridge
Lumbridge;Lumbridge
Lumbridge teleport;Teletrasporto di Lumbridge
Lumbridge graveyard teleport;Teletrasporto del cimitero di Lumbridge
Lunar helm;Elmo lunare
Lunar gloves;Guanti lunari
Lunar altar;Altare lunare
Lunar bar;Barra lunare
Lunar glass;Vetro lunare
Lunar amulet;Amuleto lunare
Lunar globe;Globo lunare
Lunar cape;Mantello lunare
Lump of crystal;Grumo di cristallo
Lunar boots;Stivali lunari
Lunar ore;Minerale lunare
Lunar ring;Anello lunare
Lunar torso;Torso lunare
Lunar staff;Bastone lunare
Lunar staff - pt1;Bastone lunare - pt1
Lunar staff - pt3;Bastone lunare - pt3
Lunar legs;Gambe lunari
Lunar signet;Sigillo lunare
Lunar isle teleport;Teletrasporto dell'isola lunare
Lunar staff - pt2;Bastone lunare - pt2
Lyre;Lira
M. treasure chest;M. scrigno del tesoro
Mackerel;Sgombro
Mace;Mazza
Machete;Machete
Lutwidge and the moonfly;Lutwidge e la mosca lunare
M sigil;Sigillo M
Lunch by the lancalliums;Pranzo dai Lancallium
M'amulet mould;Stampo per amuleto
M'speak amulet;Amuleto
Magic bird house;Casetta magica per gli uccelli
Magic butterfly net;Rete magica per farfalle
Magic box;Scatola magica
Magenta crystal;Cristallo magenta
Magic cape;Mantello magico
Magic cape rack;Porta mantelli magici
Magic cape(t);Mantello magico(t)
Mage arena cape;Mantello dell'arena dei maghi
Magic beans;Fagioli magici
Mage's book;Il libro del mago
Magic chest;Petto magico
Magic carpet;Tappeto magico
Magic essence(1);Essenza magica(1)
Magic egg;Uovo magico
Magic essence mix(1);Miscela di essenze magiche(1)
Magic comp bow;Arco magico
Magic essence mix(2);Miscela di essenze magiche(2)
Magic egg ball;Palla magica all'uovo
Magic essence (unf);Essenza magica (unf)
Magic essence(2);Essenza magica(2)
Magic gold feather;Piuma d'oro magica
Magic essence(3);Essenza magica(3)
Magic imp box pack;Pacchetto scatola magica
Magic longbow (u);Arco lungo magico (u)
Magic fang;Zanna magica
Magic essence(4);Essenza magica(4)
Magic longbow;Arco lungo magico
Magic glue;Colla magica
Magic hood;Cappuccio magico
Magic logs;Registri magici
Magic sapling;Alberello magico
Magic potion(2);Pozione magica(2)
Magic mix(1);Miscela magica(1)
Magic potion(4);Pozione magica(4)
Magic mix(2);Miscela magica(2)
Magic potion(1);Pozione magica(1)
Magic pyre logs;Tronchi di pira magica
Magic roots;Radici magiche
Magic potion(3);Pozione magica(3)
Magic ogre potion;Pozione magica dell'orco
Magic secateurs;Cesoie magiche
Magic secateurs (nz);Cesoie magiche (nz)
Magic seedling (w);Piantina magica (w)
Magic shield;Scudo magico
Magic seedling;Piantina magica
Magic shortbow (u);Arco corto magico (u)
Magic shortbow;Arco corto magico
Magic seed;Seme magico
Magic shortbow (i);Arco corto magico (i)
Magic shortbow scroll;Pergamena magica dell'arco corto
Magic staff;Bastone magico
Magical balance 1;Equilibrio magico 1
Magical balance 2;Equilibrio magico 2
Magic stock;Calcio magico
Magical cape rack;Magico portamantelli
Magical balance 3;Equilibrio magico 3
Magic stone;Pietra magica
Magic string;Corda magica
Magic tree;Albero magico
Magic whistle;Fischio magico
Magma helm (uncharged);Elmo magmatico (scaricato)
Magpie impling jar;Vaso per gazza
Magical orb (a);Sfera magica (a)
Mahogany altar;Altare in mogano
Magma helm;Elmo magmatico
Mahogany adventure log;Registro delle avventure in mogano
Magma mutagen;Mutageno del magma
Magical orb;Sfera magica
Magical pumpkin;Zucca magica
Magnet;Magnete
Mahogany armour case;Custodia per armatura in mogano
Mahogany bench;Panca in mogano
Mahogany bird house;Casetta per uccelli in mogano
Mahogany chair;Sedia in mogano
Mahogany cabinet;Mobile in mogano
Mahogany bed;Letto in mogano
Mahogany armchair;Poltrona in mogano
Mahogany bookcase;Libreria in mogano
Mahogany cape rack;Portamantello in mogano
Mahogany burners;Bruciatori in mogano
Mahogany eagle;Aquila in mogano
Mahogany feeder;Alimentatore in mogano
Mahogany house;Casa in mogano
Mahogany dresser;Comò in mogano
Mahogany costume box;Scatola per costumi in mogano
Mahogany drawer;Cassetto in mogano
Mahogany cupboard;Credenza in mogano
Mahogany fancy dress box;Scatola per costumi in mogano
Mahogany chest;Cassapanca in mogano
Mahogany demon;Demone di mogano
Mahogany scratching post;Tiragraffi in mogano
Mahogany portal;Portale in mogano
Mahogany lever;Leva in mogano
Mahogany sapling;Alberello di mogano
Mahogany plank;Tavola di mogano
Mahogany outfit stand;Stand per abiti in mogano
Mahogany pyre logs;Tronchi di pira di mogano
Mahogany magic wardrobe;Armadio magico in mogano
Mahogany ladder;Scaletta in mogano
Mahogany logs;Tronchi di mogano
Mahogany shelves;Ripiani in mogano
Mahogany throne;Trono in mogano
Mahogany toy box;Scatola portagiochi in mogano
Mahogany seedling (w);Piantina di mogano (w)
Mahogany seedling;Piantina di mogano
Mahogany stock;Calcio in mogano
Mahogany treasure chest;Scrigno del tesoro in mogano
Mahogany telescope;Telescopio in mogano
Mahogany table;Tavolo in mogano
Mahogany seed;Seme di mogano
Malediction shard 1;Frammento della maledizione 1
Male h.a.m.;Maschio H.A.M.
Malediction shard 3;Frammento della maledizione 3
Malediction shard 2;Frammento della maledizione 2
Mahogany wardrobe;Armadio in mogano
Major head;Capo maggiore
Malediction ward;Reparto di maledizione
Mahogany trophy case;Custodia per trofei in mogano
Makeover voucher;Buono di restyling
Mallignum root plank;Tavola di radice di mallignum
Manual;Manuale
Map piece;Pezzo di mappa
Mangled bones;Ossa maciullate
Man trap;Trappola per uomini
Man;Uomo
Manta ray;Manta
Maniacal monkey;Scimmia maniacale
Manor key;Chiave del maniero
Map part;Parte della mappa
Malumac's journal;Il diario di Malumac
Maple pyre logs;Tronchi di pira di acero
Maple bird house;Casetta per uccelli in acero
Maple blackjack(o);Blackjack d'acero(o)
Map scrap;Rottami di mappa
Maple logs;Tronchi di acero
Maple longbow;Arco lungo in acero
