'perfect' gold bar;'perfecte' goudbaar
Imbued tephra;Doordrenkte tefra
Imbued saradomin max cape;Doordrenkte saradomin max cape
Imbued zamorak max cape;Doordrenkte Zamorak Max-cape
Imp;Imp
Imp mask;Imp-masker
Imcando hammer;Imcando-hamer
Imcando hammer (broken);Imcando hamer (gebroken)
Imp repellent;Imp-afstotend
Imp champion scroll;Imp kampioen scroll
Imbued zamorak max hood;Doordrenkte Zamorak Max-kap
Imbued zamorak max cape (broken);Doordrenkte Zamorak Max cape (gebroken)
Imbued zamorak max cape (l);Doordrenkte Zamorak Max cape (l)
Imcandoria's fall;De val van Imcandoria
Impling jar;Impling pot
Impling scroll;Impling-rol
Incomplete light ballista;Onvolledige lichte ballista
Imp-in-a-box(1);Imp-in-een-doos(1)
Incense burners;Wierookbranders
Imp-in-a-box(2);Imp-in-een-doos(2)
Imp statue;Imp-standbeeld
Incomplete blaster;Onvolledige blaster
Incomplete heavy ballista;Onvolledige zware ballista
Incantation;Bezwering
Infernal cape;Helse kaap
Infernal chart;Helse grafiek
Infernal axe (or);Helse bijl (of)
Infernal cape (l);Helse cape (l)
Incomplete pizza;Onvolledige pizza
Incomplete stew;Onvolledige stoofpot
Infernal axe;Helse bijl
Infernal axe (uncharged);Helse bijl (ongeladen)
Infernal cape (broken);Helse cape (gebroken)
Inert locator orb;Inerte lokalisatiebol
Infernal mage;Helse magiër
Infernal max cape (l);Infernal max cape (l)
Infernal eel;Helse paling
Infernal harpoon;Helse harpoen
Infernal pickaxe;Helse houweel
Infernal max cape;Infernal maximale cape
Infernal max cape (broken);Infernal max cape (gebroken)
Infernal max hood;Infernal maximale capuchon
Infernal harpoon (or);Helse harpoen (of)
Infernal harpoon (uncharged);Helse harpoen (ongeladen)
Infinity top;Oneindige bovenkant
Infused wand;Geïnfundeerde toverstaf
Infinity boots;Infinity-laarzen
Infernal pickaxe (uncharged);Helse houweel (ongeladen)
Infernal pickaxe (or);Helse houweel (of)
Infinity gloves;Infinity-handschoenen
Initiate cuisse;Start cuisse
Infinity bottoms;Oneindige bodems
Infinity hat;Oneindige hoed
Initiate harness m;Start harnas m
Inquisitor's plateskirt;Plateskirt van de inquisiteur
Inoculation bracelet;Inenting armband
Inquisitor's mace;De strijdknots van de inquisiteur
Inquisitor's great helm;Het grote roer van de inquisiteur
Inquisitor's hauberk;Maliënkolder van de inquisiteur
Inquisitor's armour set;Inquisiteurspantserset
Initiate hauberk;Initiëren maliënkolder
Insect repellent;Insectenwerend middel
Initiate sallet;Start sallet
Instruction manual;Handleiding
Invitation letter;Uitnodigingsbrief
Iorwerth's message;Iorwerths boodschap
Iorwerth camp teleport;Iorwerth kamp teleporteren
Inverted santa hat;Omgekeerde kerstmuts
Invitation list;Uitnodigingslijst
Invasion plans;Invasieplannen
Inversion potion;Inversie drankje
Insulated boots;Geïsoleerde laarzen
Intelligence;Intelligentie
Intel report;Intel-rapport
Iron arrow(p++);IJzeren pijl(p++)
Irit leaf;Irit blad
Irit seed;Irit zaad
Iron arrowtips;IJzeren pijlpunten
Iou;Jij
Iron arrow(p);IJzeren pijl(p)
Iron arrow(p+);IJzeren pijl(p+)
Iron arrow;Ijzeren pijl
Irit potion (unf);Iritdrankje (unf)
Iron 2h sword;IJzeren 2 uur zwaard
Iron battleaxe;IJzeren strijdbijl
Iron boots;Ijzeren laarzen
Iron bolts (p+);IJzeren bouten (p+)
Iron axe head;Bijlkop van ijzer
Iron axe;Ijzeren bijl
Iron bolts;Ijzeren bouten
Iron bolts (p);IJzeren bouten (p)
Iron bolts (unf);IJzeren bouten (unf)
Iron bar;Ijzeren staaf
Iron bolts (p++);IJzeren bouten (p++)
Iron claws;Ijzeren klauwen
Iron dagger(p);IJzeren dolk(p)
Iron chainbody;IJzeren kettinglichaam
Iron dart;Ijzeren pijl
Iron crossbow;IJzeren kruisboog
Iron dagger(p+);IJzeren dolk(p+)
Iron crossbow (u);IJzeren kruisboog (u)
Iron dagger(p++);IJzeren dolk(p++)
Iron brutal;IJzer brutaal
Iron dagger;Ijzeren dolk
Iron dart tip;IJzeren dartpunt
Iron dart(p);IJzeren pijl(p)
Iron fire arrow;IJzeren vuurpijl
Iron fire arrow (lit);IJzeren vuurpijl (verlicht)
Iron defender;IJzeren verdediger
Iron dart(p+);IJzeren pijl(p+)
Iron defender (l);IJzeren verdediger (l)
Iron defender (broken);IJzeren verdediger (gebroken)
Iron dart(p++);IJzeren pijl(p++)
Iron dragon mask;IJzeren drakenmasker
Iron full helm;Ijzeren volledige roer
Iron hasta(p);IJzerhasta(p)
Iron full helm (g);Ijzer volledige roer (g)
Iron hasta;IJzeren hasta
Iron gloves;Ijzeren handschoenen
Iron gold-trimmed set (sk);IJzeren goudkleurige set (sk)
Iron full helm (t);Ijzer vol roer (t)
Iron halberd;Ijzeren hellebaard
Iron gold-trimmed set (lg);Set met ijzeren goudkleurige rand (lg)
Iron hasta(kp);IJzerhasta (kp)
Iron kiteshield (g);IJzeren vliegerschild (g)
Iron kiteshield;IJzeren vliegerschild
Iron javelin heads;Ijzeren speerkoppen
Iron javelin(p+);IJzeren speer(p+)
Iron javelin(p++);IJzeren speer(p++)
Iron hasta(p+);IJzerhasta(p+)
Iron javelin(p);IJzeren speer(p)
Iron key;Ijzeren sleutel
Iron hasta(p++);IJzerhasta(p++)
Iron javelin;Ijzeren speer
Iron nails;Ijzeren nagels
Iron kiteshield (t);IJzeren vliegerschild (t)
Iron limbs;Ijzeren ledematen
Iron med helm;Ijzer met roer
Iron knife;Ijzeren mes
Iron knife(p);IJzeren mes(p)
Iron knife(p++);IJzeren mes(p++)
Iron knife(p+);IJzeren mes(p+)
Iron longsword;IJzeren langzwaard
Iron mace;Ijzeren strijdknots
Iron platebody;IJzeren plaatlichaam
Iron ore;Ijzererts
Iron platelegs;IJzeren plaatjespoten
Iron oxide;IJzeroxide
Iron pickaxe (nz);IJzeren houweel (nz)
Iron ore fragment;Fragment van ijzererts
Iron platebody (t);IJzeren plaatlichaam (t)
Iron platebody (g);IJzeren plaatlichaam (g)
Iron pick head;IJzeren pikhouweelkop
Iron pickaxe;Ijzeren houweel
Iron set (sk);IJzerset (sk)
Iron plateskirt;Ijzeren platenrok
Iron railings;Ijzeren balustrades
Iron scimitar;Ijzeren kromzwaard
Iron plateskirt (g);Ijzeren plaatrok (g)
Iron sheet;Ijzeren plaat
Iron platelegs (t);IJzeren plaatpoten (t)
Iron platelegs (g);IJzeren plaatpoten (g)
Iron plateskirt (t);Ijzeren plaatrok (t)
Iron set (lg);IJzerset (lg)
Iron spear(kp);Ijzeren speer (kp)
Iron sq shield;IJzeren vierkante schild
Iron spear(p++);IJzeren speer(p++)
Iron thrownaxe;Ijzeren werpbijl
Iron spear(p);IJzeren speer(p)
Iron spit;Ijzeren spuug
Iron sword;Ijzeren zwaard
Iron spear;Ijzeren speer
Iron spear(p+);IJzeren speer(p+)
Iron sickle;Ijzeren sikkel
Iron warhammer;IJzeren oorlogshamer
Item list;Artikellijst
Ironman helm;Ironman-roer
Isafdar;Isafdar
Iron trimmed set (sk);Set met ijzeren rand (sk)
Ironman platelegs;Ironman-plaatpoten
Item;Item
Iron trimmed set (lg);IJzeren trimset (lg)
Ironman platebody;Ironman plaatlichaam
Isafdar painting;Isafdar schilderij
Jade bolt tips;Jade boutpunten
Jack lantern mask;Jack-lantaarnmasker
Jade amulet (u);Jaden amulet (u)
Ivandis flail;Ivandis dorsvlegel
Jade bolts;Jade bouten
Jade bolts (e);Jade bouten (e)
Jade amulet;Jaden amulet
Ivory comb;Ivoren kam
Jade;Jade
Jackal bone;Jakhals bot
Jade machete;Jade kapmes
Jangerberries;Jangerbessen
Jade bracelet;Jade armband
Jail key;Gevangenis sleutel
Jade dragon bolts;Jade drakenbouten
Jalrek-jad;Jalrek-jad
Jade dragon bolts (e);Jade drakenbouten (e)
Jal-nib-rek;Jal-nib-rek
Jade ring;Jade ring
Jade necklace;Jade ketting
Jar generator;Potgenerator
Jar of eyes;Pot met ogen
Jar of darkness;Pot van duisternis
Jar of miasma;Pot met miasma
Jar of dreams;Pot vol dromen
Jar of dirt;Pot met vuil
Jar of chemicals;Pot met chemicaliën
Jar of decay;Pot van verval
Jangerberry seed;Jangerberry-zaad
Jar of sand;Pot zand
Jar of smoke;Pot rook
Javelin shaft;Speer schacht
Javelin;Speer
Jar of spirits;Pot met sterke drank
Jar of stone;Pot van steen
Jelly;Gelei
Jar of souls;Pot met zielen
Jar of swamp;Pot moeras
Jester;Nar
Jester cape;Narren Kaap
Jogre bone;Jogre-bot
Jogre bones;Jogre-botten
Jester hat;Narren hoed
Jewellery;Juwelen
Jogre bonemeal;Jogre beendermeel
Jester scarf;Nar sjaal
Jewellery of jubilation;Sieraden van vreugde
Jogre champion scroll;Jogre kampioen scroll
Jewels;Juwelen
Jonas mask;Jonas-masker
Jug;Kruik
Jug of bad wine;Kruik slechte wijn
Jungle camo legs;Jungle camouflagepoten
Jug of vinegar;Kruik azijn
Journal page;Journaalpagina
Jungle camo top;Jungle camouflagetopje
Jug of water;Kruik water
Juice-coated brush;Borstel met sapcoating
Journal;Tijdschrift
Jug of wine;Kruik wijn
Jungle demon mask;Jungle demon masker
Justiciar chestguard;Justiciaire borstbeschermer
Junk;Rommel
Justiciar armour set;Justiciar pantserset
Juniper charcoal;Jeneverbes houtskool
Justiciar legguards;Justiciaire beenbeschermers
Justiciar's hand;De hand van de rechter
Jute fibre;Jute vezels
Justiciar faceguard;Justiciaire gezichtsbeschermer
Juniper logs;Juniper-logboeken
Jute seed;Jutezaad
K sigil;K sigil
Kandarin headgear 3;Kandarin-hoofddeksel 3
Kalphite soldier;Kalphitische soldaat
Karambwan paste;Karambwan-pasta
Kandarin headgear 4;Kandarin-hoofddeksel 4
Kandarin headgear 2;Kandarin-hoofddeksel 2
Kandarin headgear;Kandarin-hoofddeksel
Kalphite princess;Kalphitische prinses
Kandarin headgear 1;Kandarin-hoofddeksel 1
Karamja gloves;Karamja-handschoenen
Karamja gloves 1;Karamja-handschoenen 1
Karamja gloves 4;Karamja-handschoenen 4
Karambwan vessel;Karambwan-schip
Karambwanji paste;Karambwanji-pasta
Karamja;Karamja
Karamja gloves 2;Karamja-handschoenen 2
Karamja painting;Karamja-schilderij
Karamja gloves 3;Karamja-handschoenen 3
Karambwanji;Karambwanji
Karamjan monkey;Karamjan-aap
Karamthulhu;Karamthulhu
Karamjan monkey greegree;Karamjan-aap, gregree
Karamjan rum;Karamjan-rum
Karil's coif 0;Karil's coif 0
Karidian disguise;Karidiaanse vermomming
Karil's coif 25;Karil's kapsel 25
Karil's armour set;Karil's pantserset
Karil's coif;Het kapsel van Karil
Karil's coif 100;Karil's kapsel 100
Karil's crossbow;Karil's kruisboog
Karil's crossbow 100;Karil's kruisboog 100
Karil's leatherskirt;Karil's leren rok
Karil's crossbow 0;Karil's kruisboog 0
Karil's leatherskirt 0;Karil's leren rok 0
Karil's crossbow 25;Karil's kruisboog 25
Karil's crossbow 75;Karil's kruisboog 75
Karil's coif 75;Karil's kapsel 75
Karil's crossbow 50;Karil's kruisboog 50
Karil's coif 50;Karil's kapsel 50
Karil's leathertop 75;Karil's lederen top 75
Karil's leathertop 0;Karil's leren top 0
Karil's leatherskirt 100;Karil's leren rok 100
Karil's leathertop;Karil's leren top
Karil's leatherskirt 25;Karil's leren rok 25
Karil's leathertop 50;Karil's lederen top 50
Karil's leatherskirt 50;Karil's leren rok 50
Karil's leathertop 100;Karil's lederen top 100
Karil's leathertop 25;Karil's lederen top 25
Karil's leatherskirt 75;Karil's leren rok 75
Kebab mix;Kebabmix
Kebbit teeth dust;Kebbit-tandenstof
Katana;Katana
Kebbit claws;Kebbit-klauwen
Kebab;Kebab
Kebbit spike;Kebbit-piek
Kbd heads;Kbd-hoofden
Kebbit bolts;Kebbit-bouten
Kebbit teeth;Kebbit-tanden
Kebbit;Kebbit
Kelp;Kelp
Keris(p);Keris(p)
Kelda stout;Kelda stoer
Keris;Keris
Keris(p+);Keris(p+)
Keg;Vaatje
Keg of beer;Vaatje bier
Kelda hops;Kelda springt
Keldagrim portrait;Keldagrim-portret
Kelda seed;Kelda-zaad
Key print;Sleutelafdruk
Key master teleport;Sleutelmeester teleporteren
Keystone crystal;Keystone-kristal
Keys;Sleutels
Keris(p++);Keris(p++)
Key;Sleutel
Key (elite);Sleutel (elite)
Key master's key;Sleutelmeestersleutel
Kettle;Ketel
Key (medium);Sleutel (medium)
Khazard armour;Khazard-pantser
Killer's knife;Moordenaarsmes
Kharidian headpiece;Kharidisch hoofddeksel
Kharedst's memoirs;Memoires van Kharedst
Kharyrll teleport;Kharyll teleporteert
Khali brew;Khali-brouwsel
Khazard teleport;Khazard teleporteert
Kgp id card;Kgp-identiteitskaart
Khazard helmet;Khazard-helm
Khazard cell keys;Khazard celsleutels
Killerwatt;Killerwatt
Kindling;Aanmaakhout
Killing of a king;Het doden van een koning
Kitchen knife;Keukenmes
Killer's print;Moordenaarsafdruk
Kitchen;Keuken
Kitchen table;Keuken tafel
King worm;Koning worm
King's message;Konings boodschap
King arthur;Koning Arthur
Kodai (+)(2);Kodai (+)(2)
Kodai (-)(1);Kodai (-)(1)
Knight of ardougne;Ridder van Ardougne
Kite shield;Vliegerschild
Kodai (+)(1);Kodai (+)(1)
Knife;Mes
Knight's notes;Aantekeningen van Ridder
Kodai (+)(4);Kodai (+)(4)
Klank's gauntlets;Klanks handschoenen
Kodai (+)(3);Kodai (+)(3)
Kodai (-)(4);Kodai (-)(4)
Kodai wand;Kodai-toverstaf
Kodai (-)(2);Kodai (-)(2)
Kodai potion (2);Kodai-drankje (2)
Kodai potion (3);Kodai-drankje (3)
Kodai (-)(3);Kodai (-)(3)
Kodai potion (4);Kodai-drankje (4)
Kodai insignia;Kodai-insignes
Kodai potion (1);Kodai-drankje (1)
Kourend favour certificate;Kourend gunstcertificaat
Kruk monkey greegree;Kruk-aap, akkoord
Kq head;Kq hoofd
Kq head (tattered);Kq hoofd (gehavend)
Kree'arra;Kree'arra
Kristmas kebab;Kristmas kebab
Kruk jr;Kruk jr
Kronos seed;Kronos-zaad
Krandorian hops;Krandoriaanse hop
Krandorian seed;Krandoriaans zaad
Kraken tentacle;Kraken tentakel
Kruk's paw;Kruk's poot
Kyatt legs;Kyatt-benen
Kyatt fur;Kyatt-bont
Kwuarm seed;Kwaarm zaad
Kryket bat (4);Kryket-vleermuis (4)
Kwuarm potion (unf);Kwuarm-drankje (unf)
Kwuarm;Kwaarm
Kyatt hat;Kyatt-hoed
Kurask;Kurask
Kurask head;Kurask-hoofd
Lantadyme;Lantadyme
Lamp;Lamp
Ladder top;Ladder bovenaan
Lamp of knowledge;Lamp van kennis
Lantern lens;Lantaarn lens
Lamp of the gatherer;Lamp van de verzamelaar
Kyren fish (6);Kyrenvis (6)
Kyatt top;Kyatt-top
Lantadyme potion (unf);Lantadyme-drankje (unf)
Lantadyme seed;Lantadyme-zaad
Large cog;Groot tandwiel
Large fossilised ribs;Grote gefossiliseerde ribben
Large fossilised skull;Grote gefossiliseerde schedel
Large map;Grote kaart
Large fossilised pelvis;Groot versteend bekken
Large fossilised spine;Grote gefossiliseerde wervelkolom
Large enriched bone;Groot verrijkt bot
Large landscape;Groot landschap
Large fountain;Grote fontein
Large fossilised limbs;Grote gefossiliseerde ledematen
Large rock;Grote rots
Large oak bed;Groot eiken bed
Large ornate key;Grote sierlijke sleutel
Large statues;Grote beelden
Large storage unit;Grote opslagruimte
Large pouch;Groot zakje
Large portrait;Groot portret
Large orrery;Groot planetarium
Large oven;Grote oven
Large spade;Grote schop
Large teak bed;Groot teakhouten bed
Larran's key;Larrans sleutel
Large water container;Grote watercontainer
Larupia hat;Larupia-hoed
Larupia legs;Larupia-poten
Large-leaf plant;Grootbladige plant
Large zombie monkey bonemeal;Grote zombie-aap beendermeel
Larupia top;Larupia-topje
Larupia fur;Larupia-bont
Lassar teleport;Lassar teleporteert
Lathas' amulet;Het amulet van Lathas
Lava scale shard;Scherf van lavasteen
Lava eel;Lava paling
Lava dragon bones;Lava-drakenbotten
Lava dragon bonemeal;Lava drakenbeendermeel
Lava scale;Lava schaal
Lava battlestaff;Lava strijdstaf
Lava staff upgrade kit;Upgradekit voor lavapersoneel
Lava dragon mask;Lava drakenmasker
Lava rune;Lava rune
Law talisman;Wet talisman
Lazy cat;Luie kat
Lazy hell cat;Luie helkat
Leaf-bladed spear;Bladbladige speer
Law tiara;Wet tiara
Leaf-bladed battleaxe;Bladbladige strijdbijl
Law rune;Wet rune
League accomplishments scroll;League-prestaties scrollen
League hall;Liga zaal
Leaf-bladed sword;Bladbladig zwaard
Leather;Leer
Leaping sturgeon;Springende steur
League tomato;Liga tomaat
Leaping salmon;Springende zalm
Leather body (g);Leren lichaam (g)
Lean snail;Magere slak
Leather body;Leren lichaam
League statue;Liga standbeeld
Leaping trout;Springende forel
Lean snail meat;Mager slakkenvlees
Leather chaps;Leren chaps
Leather chaps (g);Leren chaps (g)
Leather boots;Leren laarzen
Lederhosen hat;Lederhosen hoed
Leather gloves;Leren handschoenen
Leather vambraces;Leren vambraces
Leaves;Bladeren
Leather cowl;Leren kap
Leckish fish (2);Lekke vis (2)
Leather shields flyer;Leren schilden flyer
Lederhosen shorts;Korte broek van lederhosen
Left eye patch;Linker ooglapje
Lederhosen top;Topje van leerhosen
Left boot;Linker laars
Legends of the mountain;Legenden van de berg
Left skull half;Linker schedelhelft
Lemon;Citroen
Legendary cocktail;Legendarische cocktail
Left-handed banana;Linkshandige banaan
Legs;Benen
Letter to surok;Brief aan Surok
Leon's champion scroll;Leon's kampioensrol
Lesser magic cage;Kleinere magische kooi
Lemon chunks;Citroen stukjes
Lemon slices;Schijfjes citroen
Lens mould;Lensvorm
Leprechaun hat;Kabouter hoed
Lesser demon champion scroll;Kleinere demonenkampioen scroll
Letter;Brief
Lesser demon mask;Kleiner demonenmasker
Light frame;Licht frame
Lever;Hefboom
Level 2 certificate;Certificaat niveau 2
Level 3 certificate;Certificaat niveau 3
Lever schematic;Hefboomschema
Light bow tie;Lichte vlinderdas
Light ballista;Licht ballistisch
Level 1 certificate;Certificaat niveau 1
Lift manual;Handleiding voor liften
Light box;Lichte doos
Light infinity hat;Lichte oneindigheidshoed
Light trousers;Lichte broek
Light tuxedo jacket;Licht smokingjasje
Light tax bag;Lichte belastingzak
Light tuxedo cuffs;Lichte smokingmanchetten
Light infinity colour kit;Lichte oneindige kleurenset
Light infinity top;Lichte oneindigheidstop
Light orb;Licht bol
Light tuxedo shoes;Lichte smokingschoenen
Light infinity bottoms;Lichte oneindigheidsbroekjes
Lil' destructor;Kleine vernietiger
Limestone brick;Kalksteen baksteen
Limestone altar;Kalkstenen altaar
Lighthouse key;Vuurtoren sleutel
Lime slices;Limoen plakjes
Lime;Limoen
Limestone;Kalksteen
Lime chunks;Limoenstukjes
Lil' zik;Beetje zik
Lil' creator;Kleine schepper
Limpwurt root;Limpwurt-wortel
Limpwurt seed;Limpwurt zaad
List;Lijst
Lit candle;Aangestoken kaars
Lit black candle;Zwarte kaars aangestoken
Lit bug lantern;Verlichte insectenlantaarn
Linum tirinum;Linum tirinum
Linen;Linnen
Liquid honey;Vloeibare honing
Lion toy;Leeuw speelgoed
Locator orb;Lokalisatiebol
Lit torch;Aangestoken fakkel
Lizardman fang;Hagedisman hoektand
Little nightmare;Kleine nachtmerrie
Lobster;Kreeft
Loach;Loach
Lobster pot;Kreeft pot
Lit strange object;Verlicht vreemd voorwerp
Loar remains;Loar blijft
Locating crystal;Kristal lokaliseren
Long kebbit spike;Lange Kebbit-spies
Logavano seed;Logavano-zaad
Logs and kindling;Houtblokken en aanmaakhout
Lockpick;Lockpick
Long bone;Lang bot
Long kebbit bolts;Lange Kebbit-bouten
Logs;Logboeken
Locust meat;Sprinkhaan vlees
Logavano fruit;Logavano-fruit
Long pulley beam;Lange katrolbalk
Longbow (u);Handboog (u)
Long rope;Lang touw
Long vine;Lange wijnstok
Looting bag;Plunderende zak
Lovakengj banner;Lovakengj-banner
Longbow;Handboog
Longer pulley beam;Langere katrolbalk
Lovakengj favour certificate;Lovakengj gunstcertificaat
Looting bag note;Notitie plunderzak
Loop half of key;Lus de helft van de sleutel
Lovakite bar;Lovakitische bar
Lovakite ore;Lovakiet erts
Lucky cutlass;Gelukkig zwaard
Lucky shot flag;Lucky Shot-vlag
Lumber order;Hout bestelling
Lovakengj scarf;Lovakengj sjaal
Low alcohol keg;Vaatje met laag alcoholgehalte
Lucky impling jar;Lucky impling-pot
Lovakengj hood;Lovakengj-kap
Low-level plants;Planten op laag niveau
Lumberjack top;Houthakkers bovenkant
Lumber patch;Hout patch
Lumberjack legs;Houthakker benen
Lumberyard teleport;Teleportatie van de houtzagerij
Lumberjack boots;Houthakkerslaarzen
Lumberjack hat;Houthakkers hoed
Lumbridge painting;Lumbridge-schilderij
Lumbridge;Lumbridge
Lumbridge teleport;Lumbridge teleporteert
Lumbridge graveyard teleport;Teleportatie van het kerkhof van Lumbridge
Lunar helm;Maan roer
Lunar gloves;Maan handschoenen
Lunar altar;Maan altaar
Lunar bar;Maan bar
Lunar glass;Maanglas
Lunar amulet;Maanamulet
Lunar globe;Maanbol
Lunar cape;Maankaap
Lump of crystal;Klomp kristal
Lunar boots;Maanlaarzen
Lunar ore;Maan erts
Lunar ring;Maanring
Lunar torso;Maan torso
Lunar staff;Maan personeel
Lunar staff - pt1;Maanstaf - pt1
Lunar staff - pt3;Maanstaf - pt3
Lunar legs;Maanbenen
Lunar signet;Maanzegel
Lunar isle teleport;Maaneiland teleporteren
Lunar staff - pt2;Maanstaf - pt2
Lyre;Lier
M. treasure chest;M. schatkist
Mackerel;Makreel
Mace;Foelie
Machete;Machete
Lutwidge and the moonfly;Lutwidge en de maanvlieg
M sigil;M sigil
Lunch by the lancalliums;Lunch bij de lancalliums
M'amulet mould;M'amulet-vorm
M'speak amulet;M'speak-amulet
Magic bird house;Magisch vogelhuis
Magic butterfly net;Magisch vlindernet
Magic box;Magische doos
Magenta crystal;Magenta kristal
Magic cape;Magische cape
Magic cape rack;Magisch caperek
Magic cape(t);Magische cape(t)
Mage arena cape;Mage Arena-cape
Magic beans;Magische bonen
Mage's book;Het boek van Magiër
Magic chest;Magische kist
Magic carpet;Magisch tapijt
Magic essence(1);Magische essentie(1)
Magic egg;Magisch ei
Magic essence mix(1);Magische essentiemix(1)
Magic comp bow;Magische comp boog
Magic essence mix(2);Magische essentiemix(2)
Magic egg ball;Magische eierbal
Magic essence (unf);Magische essentie (unf)
Magic essence(2);Magische essentie(2)
Magic gold feather;Magische gouden veer
Magic essence(3);Magische essentie(3)
Magic imp box pack;Magic imp box-pakket
Magic longbow (u);Magische handboog (u)
Magic fang;Magische hoektand
Magic essence(4);Magische essentie(4)
Magic longbow;Magische handboog
Magic glue;Magische lijm
Magic hood;Magische kap
Magic logs;Magische logboeken
Magic sapling;Magisch jong boompje
Magic potion(2);Toverdrank(2)
Magic mix(1);Magische mix(1)
Magic potion(4);Toverdrank(4)
Magic mix(2);Magische mix(2)
Magic potion(1);Toverdrank(1)
Magic pyre logs;Magische brandstapelblokken
Magic roots;Magische wortels
Magic potion(3);Toverdrank(3)
Magic ogre potion;Magisch boemandrankje
Magic secateurs;Magische snoeischaar
Magic secateurs (nz);Magische snoeischaar (nz)
Magic seedling (w);Magische zaailing (w)
Magic shield;Magisch schild
Magic seedling;Magische zaailing
Magic shortbow (u);Magische korteboog (u)
Magic shortbow;Magische korteboog
Magic seed;Magisch zaad
Magic shortbow (i);Magische korteboog (i)
Magic shortbow scroll;Magische kortboogrol
Magic staff;Magische staf
Magical balance 1;Magisch evenwicht 1
Magical balance 2;Magisch evenwicht 2
Magic stock;Magische voorraad
Magical cape rack;Magisch cape-rek
Magical balance 3;Magisch evenwicht 3
Magic stone;Magische steen
Magic string;Magisch touw
Magic tree;Magische boom
Magic whistle;Magisch fluitje
Magma helm (uncharged);Magma-roer (ongeladen)
Magpie impling jar;Ekster impling pot
Magical orb (a);Magische bol (a)
Mahogany altar;Mahonie altaar
Magma helm;Magma roer
Mahogany adventure log;Mahoniehouten avonturenlogboek
Magma mutagen;Magma mutageen
Magical orb;Magische bol
Magical pumpkin;Magische pompoen
Magnet;Magneet
Mahogany armour case;Mahoniehouten pantserkast
Mahogany bench;Mahoniehouten bank
Mahogany bird house;Mahoniehouten vogelhuisje
Mahogany chair;Mahonie stoel
Mahogany cabinet;Mahoniehouten kast
Mahogany bed;Mahoniehouten bed
Mahogany armchair;Mahonie fauteuil
Mahogany bookcase;Mahoniehouten boekenkast
Mahogany cape rack;Mahoniehouten caperek
Mahogany burners;Mahoniehouten branders
Mahogany eagle;Mahonie adelaar
Mahogany feeder;Mahoniehouten voederbak
Mahogany house;Mahonie huis
Mahogany dresser;Mahoniehouten dressoir
Mahogany costume box;Mahoniehouten kostuumdoos
Mahogany drawer;Mahoniehouten lade
Mahogany cupboard;Mahoniehouten kast
Mahogany fancy dress box;Mahoniehouten verkleeddoos
Mahogany chest;Mahoniehouten kist
Mahogany demon;Mahoniehouten demon
Mahogany scratching post;Mahoniehouten krabpaal
Mahogany portal;Mahoniehouten portaal
Mahogany lever;Mahoniehouten hendel
Mahogany sapling;Mahonieboompje
Mahogany plank;Mahoniehouten plank
Mahogany outfit stand;Mahoniehouten outfitstandaard
Mahogany pyre logs;Mahoniehouten brandstapelblokken
Mahogany magic wardrobe;Mahoniehouten magische kledingkast
Mahogany ladder;Mahoniehouten ladder
Mahogany logs;Mahoniehoutblokken
Mahogany shelves;Mahonie planken
Mahogany throne;Mahoniehouten troon
Mahogany toy box;Mahoniehouten speelgoedkist
Mahogany seedling (w);Mahonie zaailing (w)
Mahogany seedling;Mahonie zaailing
Mahogany stock;Mahoniehouten kolf
Mahogany treasure chest;Mahoniehouten schatkist
Mahogany telescope;Mahonie telescoop
Mahogany table;Mahoniehouten tafel
Mahogany seed;Mahonie zaad
Malediction shard 1;Vervloekingsscherf 1
Male h.a.m.;Mannelijke ham
Malediction shard 3;Vervloekingsscherf 3
Malediction shard 2;Vervloekingsscherf 2
Mahogany wardrobe;Mahoniehouten kledingkast
Major head;Hoofd hoofd
Malediction ward;Vervloeking afdeling
Mahogany trophy case;Mahoniehouten trofeekast
Makeover voucher;Make-over-tegoedbon
Mallignum root plank;Mallignum wortelplank
Manual;Handmatig
Map piece;Kaart stuk
Mangled bones;Verminkte botten
Man trap;Een valstrik voor mannen
Man;Man
Manta ray;Mantarog
Maniacal monkey;Maniakale aap
Manor key;Landhuis sleutel
Map part;Kaartdeel
Malumac's journal;Malumacs dagboek
Maple pyre logs;Esdoorn brandstapelblokken
Maple bird house;Esdoorn vogelhuisje
Maple blackjack(o);Esdoorn blackjack(o)
Map scrap;Kaart schroot
Maple logs;Esdoorn logboeken
Maple longbow;Handboog van esdoorn
Maple blackjack(d);Esdoorn blackjack(d)
Maple roots;Esdoorn wortels
Maple longbow (u);Esdoorn handboog (u)
Maple blackjack;Esdoorn blackjack
Maple seedling;Esdoorn zaailing
Maple stock;Esdoorn voorraad
Maple shortbow;Esdoorn kortboog
Maple shortbow (u);Esdoorn kortboog (u)
Maple shield;Esdoorn schild
Maple tree;Esdoorn
Maple seed;Esdoornzaad
Maple sapling;Esdoorn jong boompje
Marble adventure log;Marmeren avonturenlogboek
Maple seedling (w);Esdoornzaailing (w)
Marble lectern;Marmeren lessenaar
Marble altar;Marmeren altaar
Marble burners;Marmeren branders
Marble amulet;Marmeren amulet
Marble att. stone;Marmer att. steen
Marble cape rack;Marmeren caperek
Marble door;Marmeren deur
Marble block;Marmeren blok
Marble decorative bench;Marmeren decoratieve bank
Marble fireplace;Marmeren open haard
Marble wall;Marmeren muur
Marigold seed;Goudsbloem zaad
