'perfect' gold bar;"täydellinen" kultaharkko
Logavano fruit;Logavano hedelmät
Long pulley beam;Pitkä hihnapyörän palkki
Longbow (u);pitkäjousi (u)
Long rope;Pitkä köysi
Long vine;Pitkä viiniköynnös
Looting bag;Ryöstölaukku
Lovakengj banner;Lovakengj banneri
Longbow;Pitkäjousi
Longer pulley beam;Pidempi hihnapyörän palkki
Lovakengj favour certificate;Lovakengj suosiotodistus
Looting bag note;Ryöstölaukun muistiinpano
Loop half of key;Kierrä puolet avaimesta
Lovakite bar;Lovakite baari
Lovakite ore;Lovakiteen malmi
Lucky cutlass;Onnenpoika
Lucky shot flag;Onnellisen laukauksen lippu
Lumber order;Puun tilaus
Lovakengj scarf;Lovakengj huivi
Low alcohol keg;Vähäalkoholinen tynnyri
Lucky impling jar;Lucky Impling jar
Lovakengj hood;Lovakengj huppu
Low-level plants;Matalan tason kasvit
Lumberjack top;Lumberjack toppi
Lumber patch;Puutavarapaikka
Lumberjack legs;Metsästäjän jalat
Lumberyard teleport;Puutarhan teleportti
Lumberjack boots;Puusepän saappaat
Lumberjack hat;Lumberjack hattu
Lumbridge painting;Lumbridgen maalaus
Lumbridge;Lumbridge
Lumbridge teleport;Lumbridgen teleportti
Lumbridge graveyard teleport;Lumbridgen hautausmaa teleporttaa
Lunar helm;Kuun ruori
Lunar gloves;Kuun käsineet
Lunar altar;Kuun alttari
Lunar bar;Kuun baari
Lunar glass;Kuun lasi
Lunar amulet;Kuun amuletti
Lunar globe;Kuun maapallo
Lunar cape;Kuun viitta
Lump of crystal;Kristallipala
Lunar boots;Kuun saappaat
Lunar ore;Kuun malmi
Lunar ring;Kuun rengas
Lunar torso;Kuun vartalo
Lunar staff;Kuun henkilökunta
Lunar staff - pt1;Kuun esikunta - pt1
Lunar staff - pt3;Kuun esikunta - pt3
Lunar legs;Kuun jalat
Lunar signet;Kuun sinetti
Lunar isle teleport;Kuusaaren teleportti
Lunar staff - pt2;Kuun esikunta - pt2
Lyre;Lyyra
M. treasure chest;M. aarrearkku
Mackerel;Makrilli
Mace;Nuija
Machete;Viidakkoveitsi
Lutwidge and the moonfly;Lutwidge ja kuukärpänen
M sigil;M sigil
Lunch by the lancalliums;Lounas lancalliumien äärellä
M'amulet mould;Mamuletti muotti
M'speak amulet;M'speak amuletti
Magic bird house;Maaginen lintutalo
Magic butterfly net;Maaginen perhosverkko
Magic box;Taikalaatikko
Magenta crystal;Magenta kristalli
Magic cape;Maaginen viitta
Magic cape rack;Maaginen viittateline
Magic cape(t);Maaginen viitta (t)
Mage arena cape;Mage areenan viitta
Magic beans;Maagiset pavut
Mage's book;Magen kirja
Magic chest;Maaginen rintakehä
Magic carpet;Lentävä matto
Magic essence(1);Taikaesanssi (1)
Magic egg;Maaginen muna
Magic essence mix(1);Magic essence mix (1)
Magic comp bow;Magic comp jousi
Magic essence mix(2);Magic essence mix (2)
Magic egg ball;Maaginen munapallo
Magic essence (unf);Maaginen olemus (unf)
Magic essence(2);Maaginen olemus (2)
Magic gold feather;Maaginen kultainen höyhen
Magic essence(3);Taikaesanssi (3)
Magic imp box pack;Magic imp box pakkaus
Magic longbow (u);Maaginen pitkäjousi (u)
Magic fang;Taikahammas
Magic essence(4);Taikaesanssi (4)
Magic longbow;Maaginen pitkäjousi
Magic glue;Maaginen liima
Magic hood;Maaginen huppu
Magic logs;Maagiset lokit
Magic sapling;Maaginen taimi
Magic potion(2);Taikajuoma (2)
Magic mix(1);Maaginen sekoitus (1)
Magic potion(4);Taikajuoma (4)
Magic mix(2);Maaginen sekoitus (2)
Magic potion(1);Taikajuoma (1)
Magic pyre logs;Maagiset pirun lokit
Magic roots;Maagiset juuret
Magic potion(3);Taikajuoma (3)
Magic ogre potion;Maaginen ogre juoma
Magic secateurs;Maagiset oksasakset
Magic secateurs (nz);Taikaoksat (nz)
Magic seedling (w);Maaginen taimi (w)
Magic shield;Maaginen kilpi
Magic seedling;Maaginen taimi
Magic shortbow (u);Magic shortbow (u)
Magic shortbow;Maaginen shortbow
Magic seed;Maaginen siemen
Magic shortbow (i);Taikajousi (i)
Magic shortbow scroll;Magic shortbow rullaa
Magic staff;Maaginen henkilökunta
Magical balance 1;Maaginen tasapaino 1
Magical balance 2;Maaginen tasapaino 2
Magic stock;Maaginen osake
Magical cape rack;Maaginen viittateline
Magical balance 3;Maaginen tasapaino 3
Magic stone;Maaginen kivi
Magic string;Maaginen merkkijono
Magic tree;Maaginen puu
Magic whistle;Maaginen pilli
Magma helm (uncharged);Magma ruori (lataamaton)
Magpie impling jar;Harakka impling jar
Magical orb (a);Maaginen pallo (a)
Mahogany altar;Mahoninen alttari
Magma helm;Magma ruori
Mahogany adventure log;Mahoninen seikkailuloki
Magma mutagen;Magma-mutageeni
Magical orb;Maaginen pallo
Magical pumpkin;Maaginen kurpitsa
Magnet;Magneetti
Mahogany armour case;Mahoninen panssarikotelo
Mahogany bench;Mahoninen penkki
Mahogany bird house;Mahoninen lintutalo
Mahogany chair;Mahoninen tuoli
Mahogany cabinet;Mahonkikaappi
Mahogany bed;Mahoninen sänky
Mahogany armchair;Mahoninen nojatuoli
Mahogany bookcase;Mahoninen kirjahylly
Mahogany cape rack;Mahoninen viittateline
Mahogany burners;Mahonkipolttimet
Mahogany eagle;Mahoninen kotka
Mahogany feeder;Mahoninen syöttölaite
Mahogany house;Mahonkitalo
Mahogany dresser;Mahoninen lipasto
Mahogany costume box;Mahoninen pukulaatikko
Mahogany drawer;Mahoninen laatikko
Mahogany cupboard;Mahoninen kaappi
Mahogany fancy dress box;Mahoninen hieno mekkolaatikko
Mahogany chest;Mahoninen rintakehä
Mahogany demon;Mahonki demoni
Mahogany scratching post;Mahoninen raapimistolppa
Mahogany portal;Mahonki portaali
Mahogany lever;Mahoninen vipu
Mahogany sapling;Mahonkin taimi
Mahogany plank;Mahoninen lankku
Mahogany outfit stand;Mahoninen asusteline
Mahogany pyre logs;Mahonkipyyhkeet
Mahogany magic wardrobe;Mahoninen maaginen vaatekaappi
Mahogany ladder;Mahagoniset tikkaat
Mahogany logs;Mahonkihirsiä
Mahogany shelves;Mahonkihyllyt
Mahogany throne;Mahonki valtaistuin
Mahogany toy box;Mahoninen lelulaatikko
Mahogany seedling (w);Mahonkin taimi (w)
Mahogany seedling;Mahonin taimi
Mahogany stock;Mahonkivarasto
Mahogany treasure chest;Mahonki aarrearkku
Mahogany telescope;Mahoninen kaukoputki
Mahogany table;Mahoninen pöytä
Mahogany seed;Mahonin siemen
Malediction shard 1;Huijauksen sirpale 1
Male h.a.m.;Mies h.a.m
Malediction shard 3;Huijauksen sirpale 3
Malediction shard 2;Huijauksen sirpale 2
Mahogany wardrobe;Mahoninen vaatekaappi
Major head;Majuri pää
Malediction ward;Pahoinpitelyosasto
Mahogany trophy case;Mahonki palkintokotelo
Makeover voucher;Makeover-seteli
Mallignum root plank;Mallignum-juuren lankku
Manual;Manuaalinen
Map piece;Karttapala
Mangled bones;Murtuneet luut
Man trap;Mies ansa
Man;Mies
Manta ray;Manta ray
Maniacal monkey;Maniakaalinen apina
Manor key;Kartanon avain
Map part;Kartta osa
Malumac's journal;Malumacin päiväkirja
Maple pyre logs;Vaahterapyren tukit
Maple bird house;Vaahtera lintutalo
Maple blackjack(o);Maple blackjack(o)
Map scrap;Karttaromu
Maple logs;Vaahteratukit
Maple longbow;Vaahtera pitkäjousi
Maple blackjack(d);Vaahtera blackjack(d)
Maple roots;Vaahteran juuret
Maple longbow (u);Vaahtera pitkäjousi (u)
Maple blackjack;Vaahtera blackjack
Maple seedling;Vaahteran taimi
Maple stock;Vaahtera varasto
Maple shortbow;Vaahtera shortbow
Maple shortbow (u);Maple shortbow (u)
Maple shield;Vaahtera kilpi
Maple tree;Vaahterapuu
Maple seed;Vaahteran siemen
Maple sapling;Vaahteran taimi
Marble adventure log;Marmorinen seikkailulokki
Maple seedling (w);Vaahteran taimi (w)
Marble lectern;Marmorinen puhujaistuin
Marble altar;Marmorinen alttari
Marble burners;Marmoripolttimet
Marble amulet;Marmori amuletti
Marble att. stone;Marble att. kivi
Marble cape rack;Marmorinen viittateline
Marble door;Marmori ovi
Marble block;Marmorilohko
Marble decorative bench;Marmorinen koristepenkki
Marble fireplace;Marmoritakka
Marble wall;Marmori seinä
Marigold seed;Kehäkukka siemen
Marble portal nexus;Marmoriportaali nexus
Marble portal;Marmori portaali
Marble trap;Marmori ansa
Marigolds;Marigolds
Marble spiral;Marmorispiraali
Marble wardrobe;Marmorinen vaatekaappi
Marble staircase;Marmoriportaat
Marble magic wardrobe;Marmorinen maaginen vaatekaappi
Marrentill;Marrentill
Marrentill seed;Marrentillin siemen
Mark of grace;Armon merkki
Marlo's crate;Marlon laatikko
Marionette handle;Marionettinen kahva
Marrentill tar;Marrentill terva
Marr vial;Marr-pullo
Mask of balance;Tasapainon naamio
Marinated j' bones;Marinoidut j' luut
Marrentill potion (unf);Marrentill-juoma (unf)
Massive storage unit;Massiivinen säilytysyksikkö
Mature wmb;Aikuinen wmb
Mature cider;Kypsä siideri
Max cape;Max viitta
Mask of ranul;Ranulin naamio
Master farmer;Mestari viljelijä
Master scroll book;Mestari vierityskirja
Master scroll book (empty);Päävierityskirja (tyhjä)
Master wand;Mestari sauva
Max hood;Max huppu
Meaty easter egg;Lihainen pääsiäismuna
Maze key;Labyrintti avain
Medical gown;Lääkärin mekko
Medium enriched bone;Keskitasoinen rikastettu luu
Meaty chocolate mix;Lihainen suklaaseos
Meat pie;Lihapiirakka
Medium cog;Keskikokoinen hammaspyörä
Meat pizza;Liha pizza
Medium fossilised limbs;Keskikokoiset kivettyneet raajat
Meat tenderiser;Lihan mureuttaja
Medium fossilised ribs;Keskikokoiset kivettyneet kylkiluut
Medium fossilised skull;Keskikokoinen kivettynyt kallo
Medium fossilised spine;Keskikokoinen kivettynyt selkäranka
Medium ninja bonemeal;Keskipitkä ninja luujauho
Medium head;Keskikokoinen pää
Medium storage unit;Keskikokoinen säilytysyksikkö
Medium map;Keskikokoinen kartta
Medium pouch;Keskikokoinen pussi
Medium fossilised pelvis;Keskikokoinen kivettynyt lantio
Medium statues;Keskikokoiset patsaat
Menaphite purple kilt;Menafiitin violetti kiltti
Menaphite purple robe;Menafiitin violetti viitta
Meeting notes;Kokousmuistiinpanot
Memoriam crystal (3);Memoriam-kide (3)
Menagerie;Eläintarha
Memoriam crystal (2);Memoriam-kide (2)
Memoriam crystal (4);Memoriam-kide (4)
Medivaemia blossom;Medivaemia kukkii
Menaphite purple hat;Menafiitin violetti hattu
Memoriam crystal (1);Memoriam-kide (1)
Menaphite purple top;Menafiitin violetti toppi
Menaphite red top;Menafiitinpunainen toppi
Menaphite thug;Menafiittinen roisto
Menaphite red robe;Menafiitinpunainen viitta
Merfolk trident;Merfolk-kolmiharkka
Message;Viesti
Mermaid's tear;Merenneidon kyynel
Metal bar;Metallitanko
Menaphite red hat;Menafiitin punainen hattu
Menaphite red kilt;Menafiitin punainen kiltti
Metal sheet;Metallilevy
Metamorphic dust;Metamorfinen pöly
Mid-level plants;Keskitason kasvit
Meter;Mittari
Metal feather;Metalli höyhen
Metal spade;Metallinen lapio
Midnight;Keskiyö
Milky mixture;Maitomainen seos
Metal key;Metallinen avain
Miazrqa's pendant;Miazrqan riipus
Mimic;Mimic
Mind bomb(2);Mielipommi (2)
Mime gloves;Mime hanskat
Mind bomb(1);Mielipommi (1)
Mind altar teleport;Mielen alttari teleportti
Minced meat;Jauhetta lihaa
Mime mask;Miimi-naamio
Mime boots;Mime saappaat
Mime legs;Miimi jalat
Mime top;Miimi toppi
Mind bomb(m1);Mielipommi (m1)
Mind bomb(m2);Mielipommi (m2)
Mind rune pack;Mielen runepaketti
Mind core;Mielen ydin
Mind bomb(m3);Mielipommi (m3)
Mind rune;Mielen riimu
Mind bomb(3);Mielipommi (3)
Mind helmet;Mielen kypärä
Mind bomb(4);Mielipommi (4)
Mind bomb(m4);Mielipommi (m4)
Mining hood;Kaivoshuppu
Mining cape(t);Kaivosniemi(t)
Minecart ticket;Minecart lippu
Mind tiara;Mielen tiara
Minecart control scroll;Minecartin ohjausrulla
Mind shield;Mielensuoja
Mining helmet;Kaivos kypärä
Mining cape;Kaivosniemi
Mind talisman;Mielen talisman
Mining gloves;Kaivoshanskat
Mining prop;Kaivospotku
Miscellanians;Sekalaiset
Misc. portrait;Muut muotokuva
Minor head;Pieni pää
Mining tome;Mining tome
Mint cake;Minttukakku
Miscellaneous key;Sekalainen avain
Mirror;Peili
Mirror shield;Peilin suoja
Minnow;Mutu
Mith grapple tip;Mithin kouran kärki
Mithril arrow;Mithril nuoli
Mission report;Tehtäväraportti
Mithril armour;Mithril panssari
Mithril arrow(p+);Mithril-nuoli (p+)
Mith grapple;Mith koura
Mithril 2h sword;Mithril 2h miekka
Mithril arrow(p);Mithril-nuoli (p)
Mist battlestaff;Sumu taisteluhenkilökunta
Mist rune;Sumurune
Mithril axe head;Mithril-kirveen pää
Mithril bolts (p+);Mithril-pultit (p+)
Mithril bar;Mithril baari
Mithril bolts (p++);Mithril-pultit (p++)
Mithril axe;Mithril-kirves
Mithril bolts;Mithril pultit
Mithril bolts (p);Mithril-pultit (p)
Mithril arrow(p++);Mithril-nuoli (p++)
Mithril arrowtips;Mithril nuolenpäät
Mithril battleaxe;Mithril taistelukirves
Mithril chainbody;Mithril-ketjurunko
Mithril crossbow;Mithril varsijousi
Mithril bolts (unf);Mithril-pultit (unf)
Mithril crossbow (u);Mithril varsijousi (u)
Mithril dagger(p);Mithril tikari (p)
Mithril claws;Mithril kynnet
Mithril dagger;Mithril tikari
Mithril dagger(p+);Mithril tikari (p+)
Mithril boots;Mithril saappaat
Mithril brutal;Mithril brutaali
Mithril dart(p++);Mithril tikka (p++)
Mithril dart tip;Mithril tikkakärki
Mithril dragon mask;Mithril lohikäärme naamio
Mithril defender;Mithril puolustaja
Mithril dagger(p++);Mithril tikari (p++)
Mithril dart;Mithril tikka
Mithril defender (broken);Mithrilin puolustaja (rikki)
Mithril defender (l);Mithril puolustaja (l)
Mithril dart(p+);Mithril tikka (p+)
Mithril dart(p);Mithril tikka (p)
Mithril gloves;Mithril käsineet
Mithril fire arrow (lit);Mithrilin tulinuoli (palaa)
Mithril full helm (g);Mithril täysi ruori (g)
Mithril full helm (t);Mithril täysi ruori (t)
Mithril halberd;Mithril alabardi
Mithril hasta;Mithril hasta
Mithril full helm;Mithril täysi ruori
Mithril gold-trimmed set (lg);Mithril kullalla koristeltu setti (lg)
Mithril gold-trimmed set (sk);Mithril kullalla koristeltu setti (sk)
Mithril fire arrow;Mithrilin tulinuoli
Mithril hasta(kp);Mithril hasta (kp)
Mithril kiteshield;Mithril leijakilpi
Mithril javelin(p+);Mithril keihäs(p+)
Mithril javelin(p++);Mithril keihäs(p++)
Mithril javelin;Mithril keihään
Mithril javelin heads;Mithril keihäänpäät
Mithril hasta(p+);Mithril hasta(p+)
Mithril hasta(p);Mithril hasta (p)
Mithril hasta(p++);Mithril hasta(p++)
Mithril javelin(p);Mithril keihään (p)
Mithril mace;Mithril-musikka
Mithril knife(p);Mithril-veitsi (p)
Mithril knife(p+);Mithril-veitsi (p+)
Mithril knife(p++);Mithril-veitsi (p++)
Mithril kiteshield (g);Mithril kiteshield (g)
Mithril kiteshield (t);Mithril kiteshield (t)
Mithril med helm;Mithril med ruori
Mithril limbs;Mithril raajat
Mithril longsword;Mithril pitkä miekka
Mithril knife;Mithril veitsi
Mithril pickaxe;Mithril hakku
Mithril platelegs;Mithril-levyjalat
Mithril platebody;Mithril-levyrunko
Mithril nails;Mithril kynnet
Mithril platebody (g);Mithril-levyrunko (g)
Mithril ore fragment;Mithril-malmin fragmentti
Mithril pick head;Mithril poimi pään
Mithril pickaxe (nz);Mithril-hakku (nz)
Mithril ore;Mitrilin malmi
Mithril platebody (t);Mithril-levyrunko (t)
Mithril platelegs (g);Mithril-levyjalat (g)
Mithril set (lg);Mithril-sarja (lg)
Mithril platelegs (t);Mithril-levyjalat (t)
Mithril plateskirt (t);Mithril levyhame (t)
Mithril scimitar;Mithril-leikkuri
Mithril set (sk);Mithril-setti (sk)
Mithril seeds;Mithril siemenet
Mithril plateskirt;Mithril-levyhame
Mithril plateskirt (g);Mithril-levyhame (g)
Mithril spear;Mithril keihäs
Mithril sword;Mithrilin miekka
Mithril warhammer;Mithril sotavasara
Mithril spear(p);Mithril-keihäs (p)
Mithril spear(kp);Mithril-keihäs (kp)
Mithril thrownaxe;Mithril heitettynä
Mithril trimmed set (sk);Mithril trimmattu setti (sk)
Mithril sq shield;Mithril sq kilpi
Mithril spear(p+);Mithril-keihäs (p+)
Mithril spear(p++);Mithril-keihäs (p++)
Mithril trimmed set (lg);Mithril trimmattu setti (lg)
Mixed flowers;Sekakukkia
Mixed sgg;sekoitettu sgg
Mixed special;Sekoitettu erikois
Mixed punch;Sekoitettu lyönti
Mixed blizzard;Sekoitettu lumimyrsky
Mixed dragon;Sekoitettu lohikäärme
Mixed blast;Sekoitettu räjähdys
Mixed saturday;Sekalainen lauantai
Mixture - step 1(1);Seos – vaihe 1(1)
Mixed chemicals;Sekalaiset kemikaalit
Mixture - step 2(1);Seos – vaihe 2(1)
Mixture - step 1(2);Seos – vaihe 1(2)
Model ship;Malli laiva
Mixture - step 1(3);Seos – vaihe 1(3)
Modern day morytania;Nykyajan morytania
Mixture - step 1(4);Seos – vaihe 1(4)
Mixture - step 2(2);Seos – vaihe 2(2)
Mixture - step 2(4);Seos – vaihe 2(4)
Mixture - step 2(3);Seos – vaihe 2(3)
Mogre;Mogre
Molanisk;Molanisk
Monk's robe;Munkin viitta
Molch pearl;Molchin helmi
Molten glass (i);Sula lasi (i)
Mole claw;Myyräkynsi
Monk's robe (g);munkin viitta (g)
Mole skin;Myyrän iho
Mole slippers;Myyrätossut
Mogre bone;Mogren luu
Molten glass;Sula lasi
Monk's robe top;Munkin kaapu toppi
Monkey;Apina
Monk's robe (t);munkin viitta (t)
Monk's robe top (g);munkin viitta toppi (g)
Monkey bar;Apinabaari
Monkey bonemeal;Apinan luujauho
Monkey dentures;Apinan hammasproteesit
Monk's robe top (t);Munkin kaapu toppi (t)
Monkey bones;Apinan luut
Monkey corpse;Apinan ruumis
Monkey magic;Apinan taikuutta
Monkey nuts;Apinan pähkinät
Monkey tail;Apinan häntä
Monkey talisman;Apinan talisman
Monkfish;Merikrotti
Monkey skull;Apinan kallo
Monkey wrench;Jakoavain
Monkey paw;Apinan tassu
Monkey skin;Apinan iho
Monocle;Monokkeli
Moonclan manual;Moonclan käsikirja
Moonclan boots;Moonclan saappaat
Moonclan skirt;Moonclan hame
Moonclan teleport;Kuuklaani teleportti
Moonclan gloves;Moonclan hanskat
Moonclan cape;Kuuklaanin viitta
Moonlight mead;Moonlight sima
Moonclan armour;Kuuklaanin panssari
Moonclan helm;Moonclanin ruori
Moonclan hat;Moonclan hattu
Moonlight mead(2);Moonlight sima (2)
Moonlight mead(3);Moonlight sima (3)
Moonlight mead(1);Moonlight sima (1)
Moonlight mead(m3);Moonlight sima (m3)
Morrigan's coif;Morriganin coif
Moonlight mead(m1);Moonlight sima (m1)
Moonlight mead(m2);Moonlight sima (m2)
Moonlight mead(4);Moonlight sima (4)
Moonlight mead(m);Moonlight sima (m)
Moonlight mead(m4);Moonlight sima (m4)
Mort myre pear;Mort myre päärynä
Morrigan's leather chaps;Morriganin nahkahousut
Mort'ton teleport;Mort'ton teleporttaa
Morrigan's javelin;Morriganin keihäs
Morrigan's throwing axe;Morriganin heittokirves
Morytania;Morytania
Morytania legs;Morytanian jalat
Morrigan's leather body;Morriganin nahkainen runko
Mort myre fungus;Mort myre sieni
Mort myre stem;Mort myre varsi
Mossy key;Sammaleinen avain
Mouldy sawdust;Homeista sahanpurua
Morytania legs 2;Morytanian jalat 2
Morytania legs 4;Morytanian jalat 4
Morytania painting;Morytanian maalaus
Moss giant bone;Moss jättiläinen luu
Mottled eel;Kirjallinen ankerias
Morytania legs 3;Morytanian jalat 3
Morytania legs 1;Morytanian jalat 1
Mos le'harmless teleport;Mos le'harmless teleport
Mounted shark;Asennettu hai
Mounted xeric's talisman;Kiinnitetty xerikin talisman
Mounted harpoonfish;Kiinnitetty harppuunakala
Mounted swordfish;Asennettu miekkakala
Mounted sword;Asennettu miekka
Mounted digsite pendant;Asennettu digsite-riipus
Mounted emblem;Asennettu tunnus
Mounted coins;Asennettuja kolikoita
Mourner boots;Mourner saappaat
Mounted bass;Asennettu basso
Mourner top;Mourner toppi
Mourner letter;Surukirje
Mourner gloves;Surukäsineet
Mourner trousers;Suruhousut
Mud;Muta
Mouse toy;Hiiren lelu
Mouth grip;Suukahva
Mourner cloak;Surun viitta
Mud battlestaff;Mutataisteluhenkilökunta
Mud pie;Mutapiirakka
Mudskipper hide;Mudskipper piilottaa
Mummy's body;Äidin ruumis
Muddy key;Mutainen avain
Mummy's feet;Äidin jalat
Muddy rock;Mutaista rockia
Mummy's head;Äidin pää
Mummy's hands;Äidin kädet
Mudskipper hat;Mudskipper hattu
Mud rune;Mutaruuni
Mummy's legs;Äidin jalat
Mushroom potato;Sieniperuna
Mushroom spore;Sieni-itiö
Mushrooms;Sienet
Mushroom;Sieni
Mushroom pie;Sienipiirakka
Murng bat (5);Murngilepakko (5)
Mushroom & onion;Sieni & sipuli
Murky potion;Hämärä juoma
Murky water;Hämärää vettä
Museum map;Museon kartta
Mutated zygomite;Mutoitunut zygomiitti
Musty smelling note;Ummetuneen tuoksuinen nuotti
Musketeer tabard;Muskettisoturi paita
Musketeer pants;Muskettisoturi housut
Music sheet;Musiikkilevy
Music cape;Musiikki viitta
Musketeer hat;Muskettisoturi hattu
Music hood;Musiikki huppu
Music cape(t);Musiikkiviitta (t)
Music scroll;Musiikkirulla
Mysterious crushed meat;Salaperäinen murskattu liha
Mycil fish (4);Mycil kala (4)
Mysterious emblem (tier 4);Salaperäinen tunnus (taso 4)
My notes;Omat muistiinpanot
Mysterious emblem (tier 2);Salaperäinen tunnus (taso 2)
Mysterious herb;Salaperäinen yrtti
Mysterious emblem (tier 3);Salaperäinen tunnus (taso 3)
Mysterious emblem (tier 5);Salaperäinen tunnus (taso 5)
Myre snelm;Myre snelm
Mysterious emblem (tier 1);Salaperäinen tunnus (taso 1)
Mystery box;Mysteerilaatikko
Mystic boots (dusk);Mystiset saappaat (hämärässä)
Mysterious note;Salaperäinen huomautus
Mystic boots (light);Mystiset saappaat (kevyet)
Mysterious page;Salaperäinen sivu
Mysterious meat;Salaperäinen liha
Mystic boots;Mystiset saappaat
Mysterious orb;Salaperäinen pallo
Mystic air staff;Mystinen ilmahenkilöstö
Mystic boots (dark);Mystiset saappaat (tummat)
Mystic gloves;Mystiset käsineet
Mystic hat (dark);Mystinen hattu (tumma)
Mystic hat (dusk);Mystinen hattu (hämärä)
Mystic earth staff;Mystinen maan henkilökunta
Mystic gloves (dusk);Mystiset käsineet (hämärässä)
Mystic dust staff;Mystinen pölyhenkilökunta
Mystic gloves (dark);Mystiset käsineet (tummat)
Mystic fire staff;Mystinen palohenkilökunta
Mystic hat;Mystinen hattu
Mystic gloves (light);Mystiset käsineet (kevyet)
Mystic jewel;Mystinen koru
Mystic robe top;Mystinen kaapullinen toppi
Mystic lava staff;Mystinen laava henkilökunta
Mystic hat (light);Mystinen hattu (kevyt)
Mystic robe bottom (light);Mystinen viittapohja (vaalea)
Mystic robe bottom (dusk);Mystinen viittapohja (hämärässä)
Mystic mist staff;Mystinen sumu henkilökunta
Mystic mud staff;Mystinen muta henkilökunta
Mystic robe bottom (dark);Mystinen viittapohja (tumma)
Mystic robe bottom;Mystinen viittapohja
Mystic smoke staff;Mystinen savuhenkilökunta
Mystic robe top (dark);Mystic kaapu toppi (tumma)
Mystic set (dusk);Mystic setti (hämärä)
Mystic robe top (dusk);Mystic kaapu toppi (hämärässä)
Mystic set (light);Mystic setti (valo)
Mystic water staff;Mystinen vesihenkilökunta
Mystic set (blue);Mystic setti (sininen)
Mystic set (dark);Mystic setti (tumma)
Mystic robe top (light);Mystic kaapu toppi (kevyt)
Mystic steam staff;Mystinen höyryhenkilökunta
Mythical max cape;Myyttinen max viitta
Naphtha apple mix;Teollisuusbensiini omenasekoitus
Naphtha mix;Teollisuusbensiinin sekoitus
Mythical cape;Myyttinen viitta
Nail beast nails;Nail pedon kynnet
Narnode's orders;Narnoden käskyt
Mythical max hood;Myyttinen max huppu
Mystical robes;Mystiset kylpytakit
Nardah teleport;Nardah teleporttaa
Nasturtium seed;Nasturtium siemenet
Nature rune;Luonto riimu
Nasturtiums;Nasturtiums
Nature house;Luontotalo
Nature tiara;Luonnon tiara
Nechryael;Nechryael
Necklace mould;Kaulakoru muotti
Necklace of anguish;Ahdistuksen kaulakoru
Nature impling jar;Luontoon vaikuttava purkki
Nature talisman;Luonnon talisman
Navy cavalier;Laivaston kavaleri
Neilan's journal;Neilanin päiväkirja
Necklace of passage(5);käytävän kaulakoru (5)
Necklace of anguish (or);Ahdistuksen kaulakoru (tai)
Needle;Neula
Necklace of passage(2);käytävän kaulakoru (2)
Necromancy book;Nekromantia kirja
Necklace of passage(1);käytävän kaulakoru (1)
Necklace of faith;Uskon kaulakoru
Necklace of passage(3);käytävän kaulakoru (3)
Necklace of passage(4);käytävän kaulakoru (4)
Nettle tea;Nokkonen tee
Nettle-water;Nokkonen-vesi
Nest box (ring);Pesälaatikko (rengas)
New crystal bow;Uusi kristallijousi
New crystal bow (i);Uusi kristallijousi (i)
Nettles;Nokkonen
Neitiznot faceguard;Neitiznot kasvosuojaa
Nest box (seeds);Pesälaatikko (siemenet)
Nest box (empty);Pesälaatikko (tyhjä)
Neitiznot shield;Neitiznot kilpi
New key;Uusi avain
Newspaper;Sanomalehti
New crystal shield;Uusi kristallisuoja
Newly made crystal;Juuri valmistettu kristalli
New crystal halberd full (i);Uusi kristallihalabardi täynnä (i)
Nice tree;Hieno puu
New crystal halberd full;Uusi kristallihalabardi täynnä
New crystal shield (i);Uusi kristallisuoja (i)
Newcomer map;Uusi tulokas kartta
Nice hedge;Hieno aita
Ninja impling jar;Ninja impling jar
Niff & harry;Niff & Harry
Nistirio's manifesto;Nistrion manifesti
Nitroglycerin;Nitroglyseriini
Noon;Keskipäivä
Nitrous oxide;Typpioksiduuli
Nieve;Nieve
Nightmare staff;Painajainen henkilökunta
Ninja monkey greegree;Ninja apina greegre
No eggs;Ei munia
Notes;Huomautuksia
Nuggets;Nuggets
Nulodion's notes;Nulodionin muistiinpanot
Nuff's certificate;Nuffin todistus
Noose wand;Silmukan sauva
Noxifer;Noxifer
Nose peg;Nenätappi
Note;Huom
Noxifer seed;Noxiferin siemen
Normal tax bag;Normaali veropussi
Nunchaku;Nunchaku
Oak bed;Tammisänky
Oak and steel cage;Tammi- ja teräshäkki
Oak armour case;Tamminen panssarikotelo
Oak bird house;Tamminen lintutalo
Nurse hat;Sairaanhoitajan hattu
Oak bench;Tammipenkki
Oak altar;Tammi alttari
Oak armchair;Tamminen nojatuoli
Numulite;Numulite
Oak cabinet;Tammikaappi
Oak clock;Tammi kello
Oak chair;Tammi tuoli
Oak chest;Tammi rintakehä
Oak bookcase;Tammi kirjahylly
Oak cape rack;Tamminen viittateline
Oak blackjack(o);Oak blackjack(o)
Oak cage;Tammi häkki
Oak blackjack;Oak blackjack
Oak blackjack(d);Oak blackjack(d)
Oak costume box;Tammipukulaatikko
Oak decoration;Tammi koristelu
Oak door;Tammi ovi
Oak dresser;Tammi pukeutuja
Oak feeder;Tammen syöttölaite
Oak cupboard;Tammi kaappi
Oak dining table;Tamminen ruokapöytä
Oak drawers;Tammilaatikot
Oak fancy dress box;Tammipukulaatikko
Oak drawer;Tammi laatikko
Oak lectern;Oak puhujapuhuja
Oak longbow;Tammi pitkäjousi
