A Clam Shell;Ett musslaskal
Justiciar Statue;Justitiarstatyn
Justiciar armour;Justiciar rustning
Jute;Jute
Jutting wall;Utskjutande vägg
KBD heads;KBD-huvuden
KQ head;KQ huvud
Kaleef's body;Kaleefs kropp
Kalphite Queen;Kalphite Queen
Kalphite Queen Topiary;Kalphite Queen Topiary
Kalphite Queen display;Kalphite Queen display
Kalphite Soldier;Kalfitisk soldat
Kalphite queen legs;Kalphite drottningben
Karamja painting;Karamja målning
Kebab;Kebab
Keg;Kagge
Kelda Hops;Kelda humle
Kelda Hops Patch;Kelda Humle Patch
Kelda Stout;Kelda Stout
Kelp;Kelp
Kennith's ball;Kenniths boll
Kettle;Vattenkokare
Key;Nyckel
Keyhole;Nyckelhål
Kharidian cactus (Dry);Kharidian kaktus (torr)
Kharidian cactus (Healthy);Kharidian kaktus (frisk)
Kharyrll Portal;Kharyrll portal
King Arthur;Kung Arthur
Kings' ladder;Kungens stege
Kitchen Drawers;Kökslådor
Kitchen cabinet;Köksskåp
Kitchen gate;Köksgrind
Kitchen table;Köksbord
Kite shield;Draksköld
Knight;Riddare
Knight Statue;Riddarstatyn
Kourend Portal;Kourend Portal
Kourend map display case;Kourend kartmonter
Kourend sigil;Kourend sigil
Kraken Topiary;Kraken Topiary
Kraken display;Kraken display
Krandorian Hops;Krandorian humle
Kronos plant;Kronos anläggning
Kurask head;Kurask huvud
Lab table;Labbord
Lab tube;Labrör
Ladder;Stege
Ladder space;Stegeutrymme
Ladder top;Stege topp
Lalli's Stew;Lallis gryta
Lamp;Lampa
Lamp oil still;Lampolja fortfarande
Lamp space;Lamputrymme
Lamp stall;Lampstall
Lamp still;Lampa fortfarande
Lamppost;Lyktstolpe
Lancalliums;Lancallium
Lander boat;Lander båt
Lander hatch;Lander lucka
Landscape;Landskap
Landscape space;Landskapsutrymme
Lantern;Lykta
Larder;Skafferi
Larder space;Stort utrymme
Large Barrel;Stor fat
Large Boulder;Stort stenblock
Large Cage;Stor bur
Large Crystal;Stor kristall
Large Display;Stor display
Large Fossil Display;Stor Fossil Display
Large Fossil Support;Stort fossilstöd
Large Geyser;Stor gejser
Large Rock;Stor sten
Large Table;Stort bord
Large bone;Stort ben
Large boulder;Stort stenblock
Large cave;Stor grotta
Large crystals;Stora kristaller
Large cupboard;Stort skåp
Large door;Stor dörr
Large doors;Stora dörrar
Large fountain;Stor fontän
Large geyser;Stor gejser
Large grave;Stor grav
Large grave stone;Stor gravsten
Large hole;Stort hål
Large open cupboard;Stort öppet skåp
Large orrery;Stor orrery
Large oven;Stor ugn
Large rock;Stor sten
Large sewer pipe;Stort avloppsrör
Large stalagmite;Stor stalagmit
Large storage unit;Stor förvaringsenhet
Large table;Stort bord
Large urn;Stor urna
Large vase;Stor vas
Large-leaf Plant;Storbladig växt
Larran's big chest;Larrans stora bröst
Larran's small chest;Larrans lilla bröst
Lathe;Svarv
Laundry Basket;Tvättkorg
Lava;Lava
Lava Monster;Lavamonster
Lava crater;Lava krater
Lava forge;Lavasmedja
Lava gap;Lava gap
Lava trough;Lava tråg
Law rift;Lagspricka
Lazim's statue;Lazims staty
Leaflet;Folder
Leaflets;Broschyrer
Leafy Palm Tree;Lövrik palm
Leafy tree;Lövträd
League Accomplishment Scroll;League Accomplishment Scroll
League Firsts Board;League Firsts styrelse
League statue;Liga staty
Leak;Läcka
Leather shields;Lädersköldar
Leaves;Blad
Lectern;Läspulpet
Lectern space;Talarplats
Ledge;Avsats
Left side of a fireplace;Vänster sida av en öppen spis
Leftovers;Matrester
Legends Guild door;Legends Guild dörr
Letter;Brev
Lever;Spak
Lever A;Spak A
Lever B;Spak B
Lever C;Spak C
Lever D;Spak D
Lever E;Spak E
Lever F;Spak F
Lever bracket;Spakfäste
Lever space;Spakutrymme
Levers;Spakar
Leviathan;Leviathan
Life buoy;Livboj
Lifeless Matter;Livlös materia
Lifelilly;Lifelilly
Lift;Lyfta
Lift Engine;Lyft motor
Lift Platform;Lyftplattform
Light;Ljus
Light Jungle;Ljus djungel
Light door;Ljus dörr
Lighting mechanism;Belysningsmekanism
Lighting space;Belysningsutrymme
Lightning;Blixt
Lightning conductor;Åskledare
Limestone fireplace;Kalksten spis
Limpwurt plant;Limpwurtväxt
Linum Tirinum;Linum Tirinum
Linum Tirinum (Depleted);Linum Tirinum (utarmad)
Lion Statue;Lejonstaty
Little boulder;Litet stenblock
Little crack;Liten spricka
Little tent;Litet tält
Lizard dwelling;Ödla bostad
Lizardman corpse;Lizardman lik
Lizardman eggs;Lizardman ägg
Lizardman head;Lizardman huvud
Lizardman lair;Lizardman lya
Loader;Lastare
Lobstrosity;Lobstrositet
Lock;Låsa
Locked Ogre chest;Låst Ogre-kista
Locked chest;Låst bröst
Locked door;Låst dörr
Locked gate;Låst grind
Locker;Skåp
Lockers;Skåp
Log Store;Loggbutik
Log balance;Loggbalans
Log pile;stockhög
Log raft;Timmerflotte
Log storage;Logglagring
Logavano plant;Logavano växt
Logavano seedling;Logavano planta
Logs;Loggar
Long branched tree;Långt grenat träd
Long grass;Långt gräs
Long planks;Långa plankor
Longhall door;Långhallsdörr
Loom;Vävstol
Loose Mud;Lös lera
Loose Railing;Löst räcke
Loose panel;Lös panel
Loose rocks;Lösa stenar
Lovakengj statue;Lovakengj staty
Lovakite furnace;Lovakite ugn
Low fence;Lågt staket
Low wall;Låg vägg
Lumbridge Guide;Lumbridge Guide
Lumbridge Portal;Lumbridge portal
Lumbridge painting;Lumbridge målning
Lumpy rug;Klumpig matta
Lunar Altar;Månaltare
Lunar Isle Portal;Lunar Isle Portal
Lunar globe;Månklotet
Lure cave;Lure grotta
Machine;Maskin
Machine panel;Maskinpanel
Machinery;Maskiner
Magenta Crystal;Magenta kristall
Magenta crystal;Magenta kristall
Magenta door;Magenta dörr
Magic Gate;Magic Gate
Magic Mirror;Magisk spegel
Magic Mushtree;Magic Mushtree
Magic Portal;Magisk portal
Magic Stall;Magic Stall
Magic Tree;Magiskt träd
Magic Tree Stump;Magisk trädstubb
Magic ball;Magisk boll
Magic barrier;Magisk barriär
Magic birdhouse;Magisk fågelholk
Magic birdhouse (empty);Magisk fågelholk (tom)
Magic box;Magisk låda
Magic box failed;Magic box misslyckades
Magic cape rack;Magiskt kappställ
Magic chest;Magisk kista
Magic circle;Magisk cirkel
Magic door;Magisk dörr
Magic guild door;Magisk guilddörr
Magic spell;Magisk besvärjelse
Magic table;Magiskt bord
Magic tree;Magiskt träd
Magic wardrobe;Magisk garderob
Magic wardrobe space;Magiskt garderobsutrymme
Magic well;Magisk brunn
Magic wheat;Magiskt vete
Magical Animator;Magisk animatör
Magical Barrier;Magisk barriär
Magical Chest;Magisk kista
Magical Fire;Magisk eld
Magical Obelisk;Magisk obelisk
Magical fire;Magisk eld
Magical pumpkin;Magisk pumpa
Magical shield;Magisk sköld
Magical symbol;Magisk symbol
Magical wheat;Magiskt vete
Mahogany;Mahogny
Mahogany Adventure Log;Äventyrslogg i mahogny
Mahogany Wardrobe;Mahogny garderob
Mahogany bench;Mahognybänk
Mahogany birdhouse;Mahogny fågelholk
Mahogany birdhouse (empty);Mahogny fågelholk (tom)
Mahogany cape rack;Kapställ i mahogny
Mahogany chest;Mahogny kista
Mahogany feeder;Matare i mahogny
Mahogany house;Hus i mahogny
Mahogany outfit stand;Klädställ i mahogny
Mahogany prize chest;Priskista i mahogny
Mahogany sapling;En planta av mahogny
Mahogany scratching post;Skrapstolpe i mahogny
Mahogany table;Mahogny bord
Mahogany tree;Mahognyträd
Mahogany tree stump;Mahogny trädstubbe
Mahogany trophy case;Troféfodral i mahogny
Mahogany wall decoration;Väggdekoration i mahogny
Making Friends with My Arm display;Skaffa vänner med min arm-skärm
Man hidden;Man gömd
Man trap;Man fälla
Mandibular Maximus;Mandibular Maximus
Mangle;Mangel
Manhole;Manhål
Manhole cover;Brunnslock
Mannequin;Mannekäng
Map;Karta
Map space;Kartutrymme
Map table;Karttabell
Maple Tree;Lönnträd
Maple birdhouse;Fågelholk i lönn
Maple birdhouse (empty);Lönnfågelholk (tom)
Maple tree;Lönnträd
Marble adventure log;Äventyrslogg i marmor
Marble bench;Marmorbänk
Marble cape rack;Kappställ i marmor
Marble fireplace;Öppen spis i marmor
Marble hidden;Marmor gömd
Marble trap;Marmorfälla
Marble wall;Marmorvägg
Marigold;Ringblomma
Marigolds;Ringblommor
Marim Portal;Marim Portal
Mark of Darkness;Mörkrets märke
Mark of Power;Maktmärke
Marked wall;Markerad vägg
Marker;Markör
Market Stall;Marknadsstånd
Market stall;Marknadsstånd
Marshy jungle vine;Marshy djungelvinstockar
Marv (Well);Marv (tja)
Marv (ghastly!);Marv (hemskt!)
Marv (sick);Marv (sjuk)
Marv (very sick);Marv (mycket sjuk)
Massive ribs;Massiva revben
Massive storage unit;Massiv förvaringsenhet
Mast;Mast
Master clue scroll display;Master ledtråd rullningsdisplay
Mature Asgarnian Ale;Mogen Asgarnian Ale
Mature Axeman's Folly;Mogen yxmans dårskap
Mature Chef's Delight;Mogen kock's Delight
Mature Cider;Mogen cider
Mature Dragon Bitter;Mogen Dragon Bitter
Mature Dwarven Stout;Mogen Dwarven Stout
Mature Greenmans Ale;Mogen Greenmans Ale
Mature Moonlight Mead;Mogen Moonlight Mead
Mature Slayer's Respite;Mature Slayer's Respite
Mature Wizards Mind Bomb;Mogna trollkarlar Mind Bomb
Mature juniper tree;Moget enbärsträd
Mausoleum;Mausoleum
Mausoleum Door;Mausoleumdörr
Mausoleum door;Mausoleums dörr
Meat table;Köttbord
Meat tree;Köttträd
Medical table;Medicinskt bord
Medium Boulder;Medium Boulder
Medium Fossil Display;Medium Fossil Display
Medium Jungle;Medium djungel
Medium fence;Medium staket
Medium storage unit;Medium förvaringsenhet
Medivaemia root;Medivemi rot
Medpack Box;Medpack Box
Meilyr Banner;Meilyr Banner
Melting Pot;Smältdegel
Memorial;Minnesmärke
Memoriam Device;Minnesenhet
Mercenary;Legosoldat
Merfolk Skeleton;Merfolk Skelett
Metal;Metall
Metal Press;Metallpress
Metal bird;Metall fågel
Metal door;Metalldörr
Metal gate;Metallgrind
Metal ladder;Metallstege
Metal pieces;Metallbitar
Metal stand;Stativ i metall
Mighty torrent;Mäktig torrent
Milk Urns;Mjölkurnor
Mill;Kvarn
Millstones;Kvarnstenar
Mind Altar Portal;Mind Altar Portal
Mind Door;Mind Door
Mind rift;Sinneklyfta
Mine Cart;Min vagn
Mine cart;Min vagn
Mine cart sign;Min vagn tecken
Mine cave;Min grotta
Mine door;Min dörr
Mine door entrance;Ingång till gruvans dörr
Minecart;Minkärra
Mineral vein;Mineral ven
Mirror;Spegel
Mithril armour;Mithril rustning
Mithril door;Mithril dörr
Molanisk;Molanisk
Mole hill;Mullvadsbacke
Money Pot;Pengapott
Monkey Madness 2 display;Monkey Madness 2-skärm
Monkey Statue;Monkey staty
Monkey bars;Monkey bars
Monkey trap;Apfälla
Monkeybars;Monkeybars
Monster space;Monster utrymme
Monument;Monument
Monumental chest;Monumental kista
Moonlight Mead;Moonlight Mead
Morytania painting;Morytania målning
Mossy branch;Mossig gren
Mossy rock;Mossig rock
Moth;Fjäril
Moths;Malar
Mould;Forma
Mound of earth;Jordhög
Mounted Achievement Diary Cape;Mounted Achievement Diary Cape
Mounted Agility Cape;Mounted Agility Cape
Mounted Agility Cape (t);Mounted Agility Cape (t)
Mounted Attack Cape;Mounted Attack Cape
Mounted Attack Cape (t);Mounted Attack Cape (t)
Mounted Champion's Cape;Monterad Champion's Cape
Mounted Coins;Monterade mynt
Mounted Construction Cape;Monterad konstruktion Cape
Mounted Construction Cape (t);Monterad konstruktion Cape (t)
Mounted Cooking Cape;Monterad Cooking Cape
Mounted Cooking Cape (t);Monterad Cooking Cape (t)
Mounted Crafting Cape;Monterad Crafting Cape
Mounted Crafting Cape (t);Monterad Crafting Cape (t)
Mounted Defence Cape;Mounted Defense Cape
Mounted Defence Cape (t);Mounted Defense Cape (t)
Mounted Emblem;Monterat emblem
Mounted Farming Cape;Mounted Farming Cape
Mounted Farming Cape (t);Mounted Farming Cape (t)
Mounted Fire Cape;Mounted Fire Cape
Mounted Firemaking Cape;Mounted Firemaking Cape
Mounted Firemaking Cape (t);Mounted Firemaking Cape (t)
Mounted Fishing Cape;Mounted Fishing Cape
Mounted Fishing Cape (t);Mounted Fishing Cape (t)
Mounted Fletching Cape;Monterad Fletching Cape
Mounted Fletching Cape (t);Monterad Fletching Cape (t)
Mounted Head;Monterat huvud
Mounted Head Space;Monterat huvudutrymme
Mounted Herblore Cape;Mounted Herblore Cape
Mounted Herblore Cape (t);Mounted Herblore Cape (t)
Mounted Hitpoints Cape;Mounted Hitpoints Cape
Mounted Hitpoints Cape (t);Mounted Hitpoints Cape (t)
Mounted Hunting Cape;Mounted Hunting Cape
Mounted Hunting Cape (t);Mounted Hunting Cape (t)
Mounted Infernal Cape;Mounted Infernal Cape
Mounted Magic Cape;Monterad Magic Cape
Mounted Magic Cape (t);Mounted Magic Cape (t)
Mounted Max Cape;Monterad Max Cape
Mounted Mining Cape;Mounted Mining Cape
Mounted Mining Cape (t);Mounted Mining Cape (t)
Mounted Music Cape;Mounted Music Cape
Mounted Mythical Cape;Mounted Mythical Cape
Mounted Prayer Cape;Mounted Prayer Cape
Mounted Prayer Cape (t);Mounted Prayer Cape (t)
Mounted Quest Cape;Monterad Quest Cape
Mounted Ranged Cape;Mounted Ranged Cape
Mounted Ranged Cape (t);Mounted Ranged Cape (t)
Mounted Runecrafting Cape;Monterad Runecrafting Cape
Mounted Runecrafting Cape (t);Monterad Runecrafting Cape (t)
Mounted Slayer Cape;Mounted Slayer Cape
Mounted Slayer Cape (t);Mounted Slayer Cape (t)
Mounted Smithing Cape;Mounted Smithing Cape
Mounted Smithing Cape (t);Mounted Smithing Cape (t)
Mounted Strength Cape;Mounted Strength Cape
Mounted Strength Cape (t);Mounted Strength Cape (t)
Mounted Thieving Cape;Mounted Thieving Cape
Mounted Thieving Cape (t);Mounted Thieving Cape (t)
Mounted Woodcutting Cape;Monterad Woodcutting Cape
Mounted Woodcutting Cape (t);Monterad vedkapning (t)
Mounted Xeric's Champion;Monterad Xeric's Champion
Mounted Xeric's General;Monterad Xerics general
Mounted Xeric's Guard;Monterad Xeric's Guard
Mounted Xeric's Sentinel;Monterad Xerics Sentinel
Mounted Xeric's Warrior;Mounted Xeric's Warrior
Mounted harpoonfish;Monterad harpunfisk
Mounted sea bass;Monterad havsabborre
Mounted shark;Monterad haj
Mounted swordfish;Monterad svärdfisk
Mourner;Sörjande
Mouse hole;Mushål
Mud;Lera
Mud mound;Lerhög
Mud patch;Lerfläck
Mud pile;Lethög
Mud pit;lergrop
Muddy patch;Lerig lapp
Mudpile;Mudpile
Multicannon parts;Flerkanondelar
Mummy;Mamma
Mural;Väggmålning
Mushroo;Mushroo
Mushroom;Svamp
Mushroom patch;Svampplåster
Mushroom torch;Svampfackla
Mushrooms;Svampar
Mushtoise;Mushtoise
Mushtree;Mushtree
Mushy Bed;Mushy säng
Music Scores;Musikmusik
Music Stand;Musikställ
Musical space;Musikaliskt utrymme
Musty bookshelf;Mustig bokhylla
My life;Mitt liv
Mysterious glow;Mystisk glöd
Mysterious pipe;Mystisk pipa
Mysterious pool;Mystisk pool
Mysterious ruins;Mystiska ruiner
Mysterious statue;Mystisk staty
Mysterious stone;Mystisk sten
Mystic portal;Mystisk portal
Mystic symbol;Mystisk symbol
Mystical barrier;Mystisk barriär
Mystical barrier (orange);Mystisk barriär (orange)
Mystical barrier (red);Mystisk barriär (röd)
Mystical door;Mystisk dörr
Mystical mirror;Mystisk spegel
Mythic Statue;Mytisk staty
Mythical cape;Mytisk cape
Nails;Naglar
Narrow gap;Smalt gap
Narrow wall;Smal vägg
Nasturtium;Krasse
Nature house;Naturhus
Nature rift;Naturspricka
Navigator's table;Navigatörens bord
Ned's Table;Neds bord
Nest;Bo
Net;Netto
Net trap;Nätfälla
Nettles;Nässlor
Neutral Barrier;Neutral barriär
New farming patch;Nytt odlingsplåster
Newspapers;Tidningar
Nightmare;Mardröm
Nightmare Berries;Mardrömsbär
Nightmare Blossom;Mardrömsblomning
Nightmare Topiary;Mardröm Topiary
Nightmare display;Mardrömsuppvisning
Nightmare zone display;Mardrömszonsvisning
Nine;Nio
Node;Nod
Note;Notera
Nothing;Ingenting
Notice;Varsel
Notice board;Anslagstavla
Noticeboard;Anslagstavla
Notices;Notiser
Novice Flag;Nybörjarflagga
Novice flag;Nybörjare flagga
Noxious tendrils;Skadliga rankor
Oak;Ek
Oak Tree;Ek träd
Oak bench;Ekbänk
Oak birdhouse;Ek fågelholk
Oak birdhouse (empty);Ek fågelholk (tom)
Oak cape rack;Kappställ i ek
Oak chair;Ek stol
Oak chest;Ek kista
Oak drawers;Ek lådor
Oak feeder;Ekmatare
Oak house;Ek hus
Oak outfit stand;Outfitställ i ek
Oak prize chest;Ek priskista
Oak scratching post;Ek skrapstolpe
Oak table;Ekbord
Oak tree;Ek
Oak tree stump;Ek stubbe
Oak trophy case;Ek troféfodral
Oak wall decoration;Ek väggdekoration
Oak wardrobe;Ek garderob
Oaknock statue;Oaknock staty
Oaknock's Machine;Oaknocks maskin
Oaknock's exchanger;Oaknocks växlare
Oaknock's machine;Oaknocks maskin
Obelisk;Obelisk
Obelisk of Air;Obelisk of Air
Obelisk of Earth;Jordens Obelisk
Obelisk of Fire;Eldens Obelisk
Obelisk of Water;Obelisk av vatten
Obsidian bench;Obsidian bänk
Obsidian fence;Obsidian staket
Obsidian fence post;Obsidian staketstolpe
Obstacle;Hinder
Obstacle net;Hindernät
Obstacle pipe;Hinderrör
Occupied Cormorant perch;Upptagen skarvabborre
Occupied perch;Upptagen abborre
Odd looking wall;Konstig vägg
Odd markings;Udda markeringar
Office table;Kontorsbord
Official Order of Construction;Officiell byggordning
Ogre Coffin;Ogre kista
Ogre Drums;Ogre trummor
Ogre barricade;Ogre barrikad
Ogre bed;Ogre säng
Ogre bench;Ogre bänk
Ogre fire;Ogre brand
Ogre spit-roast;Ogre spett-stek
Ogre stone door;Ogre stendörr
Oil lamp;Oljelampa
Olaf's boat;Olafs båt
Old Bookshelf;Gammal bokhylla
Old Crane;Gammal kran
Old Memorial;Gamla minnesmärken
Old Shrine;Gamla helgedomen
Old Stall;Gammal stall
Old axe;Gammal yxa
Old bookshelf;Gammal bokhylla
Old crane;Gammal kran
Old fire pit;Gammal eldstad
Old log;Gammal stock
Old passageway;Gammal gång
Old ruin entrance;Gammal ruiningång
Old sacks;Gamla säckar
Old tools;Gamla verktyg
Old tree;Gammalt träd
Old wall;Gammal vägg
Old well;Gammal brunn
Olmic pillar;Olmisk pelare
Ominous Fishing Spot;Illavarslande fiskeplats
One;En
Onion;Lök
Onion basket;Lökkorg
Onion plant;Lökväxt
Onion seeds;Lökfrön
Oojimaflip;Oojimaflip
Oozing barrier;Osande barriär
Open Chest;Öppna bröstet
Open Cupboard;Öppna skåpet
Open Door;Öppna dörren
Open chest;Öppna bröstet
Open gate;Öppna grinden
Open hot vent door;Öppna varmventilationsdörren
Open statue;Öppna staty
Open trapdoor;Öppna fallluckan
Opened gold chest;Öppnad guldkista
Opening;Öppning
Operating Table;Operationsbord
Operating table;Operationsbord
Operation chair;Operationsstol
Operation table;Operationstabell
Opulent rug;Överdådig matta
Opulent table;Överdådigt bord
Orange door;Orange dörr
Orange tree;Apelsinträd
Orange tree stump;Apelsinträdstubb
Orb;Klot
Orchid;Orkide
Orchids;Orkidéer
Ore crate;Malmlåda
Ore sack;Malmsäck
Ore stones;Malmstenar
Ore table;Malmbord
Ore vein;Malmven
Organ;Organ
Ornament;Prydnad
Ornamental anvil;Dekorativt städ
Ornamental fountain;Dekorativ fontän
Ornamental globe;Prydnadsglob
Ornate Jewellery Box;Utsmyckad smyckeskrin
Ornate banner stand;Utsmyckade bannerstativ
Ornate candle;Utsmyckat ljus
Ornate combat dummy;Utsmyckad stridsdocka
Ornate dragon combat dummy;Utsmyckad drakestridsdocka
Ornate kalphite combat dummy;Utsmyckad stridsdocka av kalfit
Ornate kurask combat dummy;Utsmyckad kurask stridsdocka
Ornate league statue;Utsmyckad ligastaty
Ornate lockbox;Utsmyckad låslåda
Ornate pool of Rejuvenation;Utsmyckad pool av föryngring
Ornate railing;Utsmyckat räcke
Ornate trophy pedestal;Utsmyckad trofésockel
Ornate undead combat dummy;Utsmyckad odöda stridsdocka
Ornate vampyre combat dummy;Utsmyckad vampyrstridsdocka
Ornate vase;Utsmyckad vas
Ornate wilderness combat dummy;Utsmyckad vildmarkskampdocka
Orrery;Orrery
Otherworldly garden;Utomjordisk trädgård
Otherworldly theme;Utomjordiskt tema
Our lives;Våra liv
Outfit stand space;Plats för outfitställ
Output Tap;Utmatning Tryck
Oven;Ugn
Overhanging rock;Överhängande sten
Overload potion;Överbelastningsdryck
Owl Statue;Uggla staty
Pack;Packa
Pagoda Fungus;Pagodsvamp
Painting;Målning
Painting stand;Målarställning
Paladin;Paladin
Palm;Palm
Palm tree;Palmträd
Palm tree stump;Palmstubb
Panel;Panel
Panning point;Panoreringspunkt
Panning tray;Panoreringsbricka
Papaya tree;Papaya träd
Papaya tree stump;Papaya trädstubb
Paper;Papper
Parasol;Parasoll
Parchment;Pergament
Partial fence;Partiellt staket
Partially broken bridge;Delvis trasig bro
Party Balloon;Festballong
Passage;Passage
Passageway;Passage
Patched Wall;Patchad vägg
Patched wall;Patchad vägg
Path;Väg
Pear tree;Päronträd
Pebbles;Småsten
Pedals;Pedaler
Pedestal;Piedestal
Pedestal space;Piedestal utrymme
Peephole;Titthål
Pen Door;Penndörr
Penance Fighter statue;Penance Fighter staty
Penance Healer statue;Penance Healer staty
Penance Queen spawn statue;Penance Queen spawn staty
Penance Ranger statue;Penance Ranger staty
Penance Runner statue;Penance Runner staty
Penance cave;Penance grotta
Pendant;Hängsmycke
Pendulum;Pendel
Pentamid Pile;Pentamidhög
Perch;Abborre
Pet basket;Djurkorg
Pet blanket;Pet filt
Pet feeder space;Utfodringsutrymme för husdjur
Pet house space;Husdjurshusutrymme
Pet list;Husdjurslista
Pet list space;Husdjurslista utrymme
Petrified Large Mushroom;Förstenad stor svamp
Petrified Mushtree;Förstenad Mushtree
Petrified Pitcher;Petrified Pitcher
Petrified Pufferfish;Förstenad Pufferfish
Petrified Spine Plant;Förstenad Spine Plant
Petrified mushroom;Förstenad svamp
Pew;Bänk
Phren Roots;Phren rötter
Phren Roots (Depleted);Phren Roots (utarmad)
Piano;Piano
Piano stool;Piano pall
Pickaxe;Pickaxe
Picket fence;staket
Picnic bench;Picknickbänk
Picnic table;Picknickbord
Picture;Bild
Picture wall;Bildvägg
Pie stall;Pajstall
Pigeon;Duva
Pile of Ancient Books;Hög med antika böcker
Pile of Fishbowls;Hög med fiskskålar
Pile of Rock;Hög med sten
Pile of bricks;Hög med tegelstenar
Pile of canes;Hög med käppar
Pile of fish;Hög med fisk
Pile of rocks;Hög med stenar
Pile of rope;Hög med rep
Pile of rubble;Hög med spillror
Pile of rubble.;Hög med spillror.
Pile of skulls;Hög med dödskallar
Pillar;Pelare
Pillar of Light;Ljusstolpe
Pin;Stift
Pinball Post;Flipperstolpe
Pinboard;Anslagstavla
Pine;Tall
Pineapple Plant;Ananasväxt
Pineapple plant;Ananasväxt
Pineapple plant stump;Ananas växt stubbe
Pink rose bush patch;Rosa rosenbuskelapp
Pipe;Rör
Pipe machine;Rörmaskin
Pipes;Rör
Piping;Rör
Pirate Captain;Piratkapten
Pirate Flag;Piratflagga
Pirate Pete;Piraten Pete
Pirate Sign;Pirat tecken
Pirate map;Piratkarta
Piscarilius statue;Piscarilius staty
Pit;Grop
Pitcher plant;Kanna växt
Pitfall;Fälla
Plank;Planka
Plant;Plantera
Plant Fossil Display;Plant Fossil Display
Plant door;Växtdörr
Planter;Planteringsmaskin
Plantpot;Växtkruka
Plaque;Plack
Platform;Plattform
Platform edge;Plattformskant
Platform support;Plattformsstöd
Play blocks;Spela block
Plinth;Plint
Plough;Plog
Plunder Storage;Plundra Förråd
Points settings;Poänginställningar
Poison Ivy bush;Poison Ivy buske
Poison crater;Giftkrater
Pokers;Pokers
Pole;Pole
Pole-vault;Stavhopp
Poll booth;Valkiosk
Polluted water;Förorenat vatten
Pond;Damm
Pool of Dreams;Drömmarnas pool
Pool of Nightmares;Pool av mardrömmar
Pool of Refreshment;Pool av förfriskningar
Pool of Rejuvenation;Pool of Rejuvenation
Pool of Restoration;Pool av restaurering
Pool of Revitalisation;Pool of Revitalization
Pool of Slime;Pool of Slime
Pool of blood;Pöl av blod
Pool space;Poolutrymme
Poor Bed;Stackars säng
Portal;Portal
Portal Home;Portal hem
Portal Nexus;Portal Nexus
Portal Nexus space;Portal Nexus-utrymme
Portal frame;Portal ram
Portal machine;Portal maskin
Portal of Champions;Mästarnas portal
Portal of Death;Dödens portal
Portal of Heroes;Hjältarnas portal
Portal of Legends;Portal of Legends
Portal space;Portal utrymme
Portcullis;Portcullis
Portrait;Porträtt
Portrait space;Stående utrymme
Posh bell-pull;Posh bell-pull
Post;Posta
Poster;Affisch
Posts;Inlägg
Pot;Pott
Pot of Gold;Kruka med guld
Pot of dynamite;Kruka med dynamit
Pot-boiler;Pott-panna
Potato;Potatis
Potato basket;Potatiskorg
Potato cactus;Potatis kaktus
Potato plant;Potatisväxt
Potato plants;Potatisväxter
Potato seed;Potatisfrö
Potatoes;Potatis
Potential fire;Potentiell brand
Potion of power table;Potion av kraftbord
Potion shelf;Dryckeshylla
Potion shelves;Potion hyllor
Potions;Potions
Pots;Krukor
Potted fern;Ormbunke i kruk
Potted flower;Krukväxt
Potted plant;Krukväxt
Potter's Wheel;Potter's Wheel
Potter's wheel;Potter's wheel
Pottery Oven;Keramikugn
Powder Barrel;Pulverfat
Power Grid;Elnät
Power saw;Motorsåg
Precarious bridge;Osäkra bro
Preparation Table;Förberedelsetabell
Press support;Pressstöd
Pressure Barrel;Trycktrumma
Pressure Lever;Tryckspak
Pressure machine;Tryckmaskin
Pressure pad;Tryckdyna
Priest Statue;Präststaty
Prison Door;Fängelsedörr
Prison door;Fängelsedörr
Prison space;Fängelseutrymme
Private bank booth;Privat bank monter
Private portal;Privat portal
Prize chest space;Pris kistutrymme
Professor's table;Professorns bord
Protest Banners;Protestbanderoller
Protest Poster;Protestaffisch
Protruding rocks;Utskjutande stenar
Pump;Pump
Pump and drain;Pumpa och dränera
Pump and tub;Pump och badkar
Pylon;Pylon
Pyramid entrance;Pyramidingång
Pyre boat;Pyre båt
Pyre site;Pyre webbplats
Pyromancer;Pyromantiker
Quest List;Uppdragslista
Quest list space;Uppdragslistutrymme
Quiescent Snow Storm;Stilla snöstorm
Rabbit hole;Kaninhål
Rabbit snare;Kanin snara
Rabbitless hole;Kaninlöst hål
Rachel (Well);Rachel (tja)
Rachel (ghastly!);Rachel (hemskt!)
Rachel (sick);Rachel (sjuk)
Rachel (very sick);Rachel (mycket sjuk)
Rack;Kuggstång
Rack of barrels;Rack med fat
Raft;Flotte
Rail;Järnväg
Railing;Räcke
Raised coffin;Upphöjd kista
Ramp;Ramp
Range;Räckvidd
Range chimney;Range skorsten
Ranging game space;Varierande spelutrymme
Ranging spot;Rangeringsplats
Ranis Drakan;Ranis Drakan
Rare Flowers;Sällsynta blommor
Rat;Råtta
Rat Wall;Råttvägg
Rat barn;Råttlada
Rat barrel;Råtttunna
Rat hole;Råtthål
Rat lever;Råttspak
Rat trap;Råttfälla
Rat wall;Råttvägg
Rat wheel;Råtthjul
Rat-hole;Råtthål
Ray of Light;Ljusstråle
Recess;Fördjupning
Recruiting board;Rekryteringsnämnd
Red Banana Tree;Röd bananträd
Red Barrier;Röd barriär
Red Castlewars armour;Röd Castlewars rustning
Red Flowers;Röda blommor
