A Goblin standard;Um padrão Goblin
Incomplete map;Mapa incompleto
Inconspicuous bush (beginner);Arbusto discreto (iniciante)
Inconspicuous rocks (medium);Rochas imperceptíveis (médias)
Hopper;Funil
Ice blockage;Bloqueio de gelo
Ice bridge;Ponte de gelo
Icthlarin's statue;Estátua de Icthlarin
Holding area;Área de espera
Hollow log;Tronco oco
Holy Barrier;Barreira Sagrada
Hosidius statue;Estátua de Hosídio
Hot Coals;Carvões Quentes
House Advertisement;Anúncio da casa
Ice;Gelo
Icy rock;Rocha gelada
Inconspicuous hole (easy);Buraco imperceptível (fácil)
Inconspicuous rocks (hard);Rochas imperceptíveis (duras)
Hope bridge;Ponte esperança
Hops Patch;Patch de lúpulo
Hospital shelves;Prateleiras hospitalares
Huge plant;Planta enorme
Ice Column;Coluna de Gelo
Ice Troll King;Rei Troll de Gelo
Incense burner;Queimador de incenso
Hollow tree;Árvore oca
Horn of Death;Chifre da Morte
Icon of Saradomin;Ícone de Saradomin
Icy Cavern;Caverna Gelada
Inconspicuous bush (medium);Arbusto discreto (médio)
Huge Spider;Aranha Enorme
Icon space;Espaço de ícone
Inactive Symbol;Símbolo Inativo
Huge Mushroom;Cogumelo Enorme
Hurt fairy;Fada machucada
Icon of Guthix;Ícone de Guthix
Inconspicuous crate (medium);Caixa discreta (média)
Incubation chamber;Câmara de incubação
Horn of glory;Chifre da glória
Icyene Statue;Estátua de Icyene
Inconspicuous bush (master);Arbusto discreto (mestre)
Human Flag;Bandeira Humana
Ice cube;Cubo de gelo
Icicles;Sincelos
Inanimate Altar;Altar Inanimado
Hook briar;Briar de gancho
Hopper controls;Controles da tremonha
Ice Throne;Trono de Gelo
Ice gate;Portão de gelo
Inconspicuous crate (elite);Caixa discreta (elite)
Incubator;Incubadora
Iron Winch;Guincho de Ferro
Kebab;Churrasquinho
Kelda Hops;Kelda Lúpulo
Kitchen Drawers;Gavetas de cozinha
Lab table;Mesa de laboratório
Lalli's Stew;Ensopado de Lalli
Ithell Banner;Bandeira Ithell
Jangerberry bush;Arbusto de jangerberry
Javelin;Dardo
Junction box;Caixa de junção
Karamja painting;Pintura Karamja
Key;Chave
Kitchen gate;Portão da cozinha
Jail Door;Porta da prisão
Jungle Grass;Grama da selva
Jungle Tree;Árvore da selva
Kourend map display case;Vitrine do mapa Kourend
Lamp;Lâmpada
Intermediate Flag;Bandeira Intermediária
Item Chest;Baú de Itens
Kalphite Queen Topiary;Topiária da Rainha Kalphita
Jacky Jester;Jacky Bobo da Corte
Jewellery stall;Barraca de joias
Kalphite Queen display;Exibição da Rainha Kalphita
Kharyrll Portal;Portal Kharyrll
King Arthur;Rei Artur
Kronos plant;Planta Cronos
Kurask head;Cabeça de Kurask
Ladder;Escada
Ladder space;Espaço de escada
Jagged wall;Parede irregular
Jenkins;Jenkins
Jolly Roger;Jolly Roger
Jungle Tree Stump;Toco de árvore da selva
Junk;Porcaria
Kettle;Chaleira
Kharidian cactus (Healthy);Cacto Kharidiano (saudável)
Kitchen cabinet;Armário de cozinha
Lamppost;Poste de iluminação
Ivory table;Mesa de marfim
Juna;Juna
Jutting wall;Parede saliente
Kalphite Soldier;Soldado Kalphita
Kelp;Kelp
Kharidian cactus (Dry);Cacto Kharidiano (seco)
Lab tube;Tubo de laboratório
Lancalliums;Lancálios
Landscape space;Espaço paisagístico
Keg;Barril
Keyhole;Buraco da fechadura
Lamp space;Espaço da lâmpada
Isafdar painting;Pintura de Isafdar
Jungle Flower;Flor da Selva
KQ head;Cabeça KQ
Kelda Hops Patch;Patch de lúpulo Kelda
Knight;Cavaleiro
Kraken display;Exibição Kraken
Information;Informação
Iron railings;Grades de ferro
Ironman & Ultimate Ironwoman;Ironman e Ultimate Ironwoman
Jungle plant;Planta da selva
Justiciar armour;Armadura de juiz
Krandorian Hops;Lúpulo Krandoriano
Lamp still;Lâmpada ainda
Information booth;Balcão de informações
Insurance stall;Barraca de seguros
Kourend sigil;Sigilo Kourend
Lamp oil still;Óleo de lâmpada ainda
Lamp stall;Tenda de lâmpada
Jewellery box space;Espaço para porta-jóias
KBD heads;Chefes KBD
Kalphite queen legs;Pernas da rainha Kalphita
Kennith's ball;A bola de Kennith
Kings' ladder;Escada dos reis
Kite shield;Escudo de pipa
Knight Statue;Estátua do Cavaleiro
Kourend Portal;Portal Kourend
Ladder top;Topo da escada
Injured fairy;Fada ferida
Iorwerth Banner;Bandeira de Iorwerth
Iron ladder;Escada de ferro
Kaleef's body;O corpo de Kaleef
Information scroll;Rolagem de informações
Jungle Plant;Planta da selva
Kitchen table;Mesa de cozinha
Kraken Topiary;Topiária Kraken
Lander hatch;Escotilha do módulo de pouso
Juliet;Julieta
Jungle Bush;Selva Arbusto
Justiciar Statue;Estátua do Juiz
Jute;Juta
Kalphite Queen;Rainha Kalphita
Lander boat;Barco de pouso
Information Scroll;Rolagem de informações
Interdimensional rift;Fenda interdimensional
Interrogation chair;Cadeira de interrogatório
Jungle Palm;Palmeira da Selva
Jungle flower;Flor da selva
Kelda Stout;Kelda Stout
Landscape;Paisagem
Large rock;Pedra grande
Leafy Palm Tree;Palmeira frondosa
Lever B;Alavanca B
Lifelilly;Lifelilly
Limestone fireplace;Lareira de calcário
Large Barrel;Barril Grande
Lava;Lava
Lava forge;Forja de lava
Lizardman corpse;Cadáver do homem lagarto
Lizardman eggs;Ovos de homem-lagarto
Large grave;Sepultura grande
Lathe;Torno
Lift;Elevador
Linum Tirinum (Depleted);Linum Tirinum (esgotado)
Large Rock;Pedra Grande
Large grave stone;Lápide grande
Lazim's statue;Estátua de Lazim
Large Geyser;Gêiser Grande
Large open cupboard;Grande armário aberto
Larran's big chest;O grande peito de Larran
Letter;Carta
Life buoy;Bóia salva-vidas
Lifeless Matter;Matéria sem vida
Light Jungle;Selva clara
Large Fossil Support;Grande Suporte Fóssil
Laundry Basket;Cesto de roupa suja
League Accomplishment Scroll;Pergaminho de Conquistas da Liga
Lift Platform;Plataforma elevatória
Large Table;Mesa Grande
Large boulder;Pedra grande
Large cupboard;Armário grande
Leaflet;Folheto
Leaves;Folhas
Lever C;Alavanca C
Lava trough;Calha de lava
Lantern;Lanterna
Large doors;Portas grandes
Large hole;Buraco grande
Large orrery;Grande planetário
Large table;Mesa grande
Law rift;Fenda na lei
Leather shields;Escudos de couro
Leviathan;Leviatã
Lift Engine;Motor de elevação
Large crystals;Cristais grandes
Large urn;Urna grande
Lever space;Alavanca de espaço
Levers;Alavancas
Larder;Despensa
Large Display;Tela grande
Large oven;Forno grande
Large sewer pipe;Grande cano de esgoto
Large storage unit;Grande unidade de armazenamento
Lightning conductor;Pára-raios
Linum Tirinum;Linum Tirinum
Little boulder;Pedregulho
Leaflets;Folhetos
League statue;Estátua da liga
Lectern space;Espaço de púlpito
Ledge;Borda
Left side of a fireplace;Lado esquerdo de uma lareira
Lever;Alavanca
Lever D;Alavanca D
Light;Luz
Light door;Porta clara
Lighting mechanism;Mecanismo de iluminação
Large Crystal;Cristal Grande
Large geyser;Grande gêiser
League Firsts Board;Quadro de primeiros da liga
Leak;Vazar
Leftovers;Sobras
Legends Guild door;Porta da Guilda das Lendas
Lighting space;Espaço de iluminação
Large door;Porta grande
Large fountain;Fonte grande
Large vase;Vaso grande
Large-leaf Plant;Planta de folhas grandes
Lava crater;Cratera de lava
Lectern;Atril
Limpwurt plant;Planta de limpwurt
Little crack;Pequena rachadura
Large Boulder;Pedra Grande
Large Fossil Display;Grande exposição de fósseis
Large bone;Osso grande
Large cave;Grande caverna
Large stalagmite;Grande estalagmite
Larran's small chest;O pequeno baú de Larran
Lava Monster;Monstro de Lava
Lava gap;Lacuna de lava
Leafy tree;Árvore frondosa
Lever A;Alavanca A
Larder space;Espaço de despensa
Large Cage;Gaiola Grande
Lever E;Alavanca E
Lever F;Alavanca F
Lever bracket;Suporte de alavanca
Lightning;Raio
Lion Statue;Estátua do Leão
Little tent;Pequena tenda
Lizard dwelling;Moradia de lagarto
Locked gate;Portão trancado
Log Store;Armazenamento de registros
Magic Mirror;Espelho Mágico
Magical symbol;Símbolo mágico
Lumpy rug;Tapete irregular
Magic guild door;Porta da guilda mágica
Mahogany chest;Baú de mogno
Mahogany wall decoration;Decoração de parede em mogno
Lobstrosity;Lagostrosidade
Low wall;Parede baixa
Machine;Máquina
Magenta Crystal;Cristal Magenta
Magic cape rack;Porta-capas mágicas
Magic chest;Baú mágico
Magic spell;Feitiço mágico
Magic wardrobe;Guarda-roupa mágico
Mahogany;Mogno
Locked Ogre chest;Baú de Ogro trancado
Log balance;Saldo de registro
Long branched tree;Árvore longa e ramificada
Magic Mushtree;Cogumelo Mágico
Magic Portal;Portal Mágico
Magic wardrobe space;Espaço de guarda-roupa mágico
Magical Barrier;Barreira Mágica
Locked chest;Baú trancado
Locked door;Porta trancada
Log raft;Jangada de toras
Lure cave;Caverna de isca
Magic Stall;Barraca Mágica
Magic birdhouse;Casa de passarinho mágica
Magic birdhouse (empty);Casa de passarinho mágica (vazia)
Magic tree;Árvore mágica
Mahogany cape rack;Cabide em mogno
Mahogany sapling;Muda de mogno
Lizardman lair;Covil do Homem Lagarto
Logavano plant;Fábrica de Logavano
Loose panel;Painel solto
Magic Tree Stump;Toco de árvore mágica
Logs;Registros
Lunar Altar;Altar Lunar
Lunar Isle Portal;Portal da Ilha Lunar
Lunar globe;Globo lunar
Magic Gate;Portão Mágico
Magic box;Caixa mágica
Magical wheat;Trigo mágico
Mahogany house;Casa de mogno
Machine panel;Painel da máquina
Magic ball;Bola mágica
Magic box failed;Caixa mágica falhou
Magic table;Mesa mágica
Magical pumpkin;Abóbora mágica
Mahogany table;Mesa de mogno
Mahogany tree;Árvore de mogno
Mahogany trophy case;Porta-troféus em mogno
Loose Mud;Lama solta
Loose rocks;Pedras soltas
Lumbridge painting;Pintura de Lumbridge
Magic wheat;Trigo mágico
Magical Fire;Fogo Mágico
Magical Obelisk;Obelisco Mágico
Magical shield;Escudo mágico
Loader;Carregador
Magic door;Porta mágica
Mahogany Wardrobe;Guarda-roupa de mogno
Mahogany birdhouse;Casa de passarinho em mogno
Mahogany feeder;Alimentador de mogno
Log pile;Pilha de toras
Lumbridge Portal;Portal de Lumbridge
Mahogany outfit stand;Suporte para roupas em mogno
Log storage;Armazenamento de registros
Long grass;Grama alta
Lovakengj statue;Estátua de Lovakengj
Machinery;Máquinas
Magenta crystal;Cristal magenta
Magic circle;Círculo mágico
Magical fire;Fogo mágico
Lovakite furnace;Fornalha Lovakita
Low fence;Cerca baixa
Magic well;Magia bem
Mahogany bench;Banco de mogno
Lizardman head;Cabeça de homem lagarto
Lock;Trancar
Longhall door;Porta Longhall
Loose Railing;Corrimão solto
Magic Tree;Árvore Mágica
Magical Animator;Animador Mágico
Mahogany Adventure Log;Registro de aventura em mogno
Mahogany prize chest;Baú de prêmios em mogno
Mahogany scratching post;Poste para arranhar em mogno
Long planks;Pranchas compridas
Loom;Tear
Magenta door;Porta magenta
Mahogany tree stump;Toco de árvore de mogno
Locker;Armário
Lockers;Armários
Logavano seedling;Muda de Logavano
Lumbridge Guide;Guia de Lumbridge
Magic barrier;Barreira mágica
Magical Chest;Baú Mágico
Mahogany birdhouse (empty);Casa de passarinho em mogno (vazia)
Map space;Espaço do mapa
Master clue scroll display;Exibição de rolagem de dicas mestre
Mature Asgarnian Ale;Ale Asgarniana Madura
Medivaemia root;Raiz de medivemia
Mirror;Espelho
Mithril door;Porta de mithril
Mole hill;Colina toupeira
Monkey Madness 2 display;Exibição de Monkey Madness 2
Mature Cider;Cidra Madura
Mature juniper tree;Árvore de zimbro madura
Mausoleum door;Porta do mausoléu
Melting Pot;Caldeirão
Mill;Moinho
Man trap;Armadilha humana
Mangle;Mangle
Meilyr Banner;Bandeira Meilyr
Metal door;Porta metálica
Mine cart sign;Sinal de carrinho de mina
Map table;Tabela de mapas
Massive ribs;Costelas enormes
Meat tree;Árvore de carne
Mine cave;Minha caverna
Mandibular Maximus;Máximo Mandibular
Marble trap;Armadilha de mármore
Marshy jungle vine;Videira da selva pantanosa
Marv (ghastly!);Marv (horrível!)
Medpack Box;Caixa Medpack
Milk Urns;Urnas de Leite
Minecart;Carrinho de mina
Man hidden;Homem escondido
Marble bench;Banco de mármore
Mark of Darkness;Marca da Escuridão
Marker;Marcador
Market Stall;Banca de mercado
Marv (Well);Marv (bem)
Medical table;Mesa médica
Metal;Metal
Mine cart;Meu carrinho
Molanisk;Molanisco
Marble hidden;Mármore escondido
Mausoleum Door;Porta do Mausoléu
Metal pieces;Peças metálicas
Millstones;Pedras de moinho
Mine Cart;Meu carrinho
Making Friends with My Arm display;Exibição Fazendo amizade com meu braço
Manhole;Bueiro
Maple birdhouse;Casa de passarinho de bordo
Massive storage unit;Unidade de armazenamento enorme
Mature Wizards Mind Bomb;Bomba Mental de Feiticeiros Maduros
Medium Boulder;Pedregulho Médio
Mercenary;Mercenário
Merfolk Skeleton;Esqueleto de Tritão
Map;Mapa
Marble adventure log;Registro de aventura em mármore
Marble fireplace;Lareira de mármore
Marim Portal;Portal Marim
Medium fence;Cerca média
Mature Dragon Bitter;Dragão Maduro Amargo
Medium storage unit;Unidade de armazenamento médio
Metal bird;Pássaro metálico
Metal stand;Suporte metálico
Marigold;Calêndula
Marv (sick);Marv (doente)
Mast;Mastro
Medium Jungle;Selva Média
Money Pot;Pote de dinheiro
Market stall;Banca de mercado
Mature Chef's Delight;Delícia do Chef Maduro
Meat table;Mesa de carne
Medium Fossil Display;Exibição Média de Fósseis
Memoriam Device;Dispositivo de memória
Mighty torrent;Torrente poderosa
Mind Altar Portal;Portal do Altar da Mente
Maple Tree;Árvore de bordo
Maple birdhouse (empty);Casa de passarinho de bordo (vazia)
Marble wall;Parede de mármore
Mark of Power;Marca do Poder
Marv (very sick);Marv (muito doente)
Mature Moonlight Mead;Hidromel maduro ao luar
Mind Door;Porta da Mente
Mannequin;Manequim
Marigolds;Malmequeres
Mature Axeman's Folly;A loucura do homem do machado maduro
Memorial;Memorial
Metal gate;Portão metálico
Mine door;Minha porta
Mithril armour;Armadura de mithril
Marble cape rack;Cabide em mármore
Marked wall;Parede marcada
Mature Dwarven Stout;Dwarven Stout Madura
Mausoleum;Mausoléu
Metal ladder;Escada metálica
Mind rift;Fenda mental
Manhole cover;Tampa de bueiro
Maple tree;Árvore de bordo
Mature Greenmans Ale;Greenmans Ale Madura
Mature Slayer's Respite;A trégua do matador maduro
Metal Press;Prensa Metálica
Mine door entrance;Entrada da porta da mina
Mineral vein;Veia mineral
Mounted Firemaking Cape;Capa de Arte do Fogo Montada
Mounted Music Cape;Capa Musical Montada
Mounted Slayer Cape (t);Capa de Assassino Montada (t)
Mounted Xeric's Warrior;Guerreiro de Xeric montado
Monkey bars;Barras de macaco
Moonlight Mead;Hidromel ao Luar
Mossy rock;Rocha coberta de musgo
Mound of earth;Monte de terra
Mounted Achievement Diary Cape;Capa do Diário de Conquistas Montado
Mounted Crafting Cape;Capa de artesanato montada
Mounted Herblore Cape;Capa de Herbologia Montada
Mounted Hitpoints Cape;Capa de pontos de vida montada
Mounted Hunting Cape;Capa de caça montada
Mounted Runecrafting Cape;Capa de Criação de Runas Montada
Mounted Smithing Cape;Capa de Metalurgia Montada
Mounted swordfish;Peixe-espada montado
Mud;Lama
Mounted Agility Cape (t);Capa de agilidade montada (t)
Mud mound;Monte de lama
Mud patch;Mancha de lama
Morytania painting;Pintura da Moritânia
Mounted Head Space;Espaço principal montado
Mounted Prayer Cape (t);Capa de oração montada (t)
Mounted Xeric's Guard;Guarda Montada de Xeric
Mounted Hunting Cape (t);Capa de caça montada (t)
Mounted Infernal Cape;Capa Infernal Montada
Mounted Magic Cape (t);Capa Mágica Montada (t)
Mouse hole;Buraco de rato
Mud pit;Poço de lama
Mushroom;Cogumelo
Mounted Attack Cape (t);Capa de Ataque Montada (t)
Mounted Defence Cape;Cabo de Defesa Montado
Mounted Fletching Cape;Capa de Fletching Montada
Mounted Runecrafting Cape (t);Capa de Criação de Runas Montada (t)
Mounted Slayer Cape;Capa de Assassino Montada
Monkey trap;Armadilha para macaco
Mounted Coins;Moedas montadas
Mounted Cooking Cape;Capa de cozinha montada
Mounted Fire Cape;Capa de Fogo Montada
Mounted Fishing Cape;Capa de pesca montada
Mounted Woodcutting Cape;Capa de Corte de Lenha Montada
Muddy patch;Mancha enlameada
Mudpile;Pilha de lama
Mummy;Múmia
Mushroo;Cogumelo
Mounted Firemaking Cape (t);Capa de Arte do Fogo Montada (t)
Mounted Fishing Cape (t);Capa de pesca montada (t)
Mounted Xeric's Champion;Campeão de Xeric Montado
Mushtoise;Cogumelo
Monkeybars;Barras de macaco
Moths;Mariposas
Mounted Agility Cape;Capa de agilidade montada
Mounted Cooking Cape (t);Capa de cozinha montada (t)
Mounted Hitpoints Cape (t);Capa de pontos de vida montada (t)
Mounted Xeric's General;General de Xeric Montado
Mourner;Enlutado
Multicannon parts;Peças multicanhão
Mounted Prayer Cape;Capa de oração montada
Monkey Statue;Estátua de Macaco
Mould;Mofo
Mounted Construction Cape;Cabo de construção montado
Mounted Fletching Cape (t);Capa de Fletching Montada (t)
Mounted Head;Cabeça montada
Mounted Magic Cape;Capa Mágica Montada
Mounted Mythical Cape;Capa Mítica Montada
Mounted Ranged Cape (t);Capa de Combate Montada (t)
Mounted Thieving Cape (t);Capa de Ladrão Montada (t)
Mounted Xeric's Sentinel;Sentinela de Xeric montada
Mounted shark;Tubarão montado
Monument;Monumento
Mounted Construction Cape (t);Cabo de Construção Montado (t)
Mounted Max Cape;Capa Max Montada
Mounted Woodcutting Cape (t);Capa de Corte de Lenha Montada (t)
Mounted harpoonfish;Peixe arpão montado
Mounted sea bass;Robalo montado
Mushrooms;Cogumelos
Moth;Mariposa
Mounted Champion's Cape;Capa do Campeão Montado
Mounted Crafting Cape (t);Capa de Artesanato Montada (t)
Mounted Emblem;Emblema Montado
Mounted Quest Cape;Capa de missão montada
Mounted Strength Cape;Cabo de Força Montado
Mounted Strength Cape (t);Capa de resistência montada (t)
Mushroom patch;Patch de cogumelo
Monumental chest;Baú monumental
Mounted Defence Cape (t);Cabo de Defesa Montado (t)
Mounted Farming Cape (t);Capa Agrícola Montada (t)
Mounted Herblore Cape (t);Capa de Herbologia Montada (t)
Mounted Thieving Cape;Capa de Ladrão Montada
Mud pile;Pilha de lama
Mossy branch;Ramo musgoso
Mounted Attack Cape;Capa de Ataque Montada
Mounted Mining Cape (t);Cabo de Mineração Montado (t)
Mounted Ranged Cape;Capa de Combate Montada
Mushroom torch;Tocha de cogumelo
Monster space;Espaço monstro
Mounted Farming Cape;Capa Agrícola Montada
Mounted Mining Cape;Cabo de Mineração Montado
Mounted Smithing Cape (t);Capa de Metalurgia Montada (t)
Mural;Mural
Mystic symbol;Símbolo místico
Nasturtium;Chagas
New farming patch;Novo patch agrícola
Noxious tendrils;Gavinhas nocivas
Oak birdhouse;Casa de passarinho de carvalho
Oak house;Casa de carvalho
Obelisk of Water;Obelisco da Água
Odd looking wall;Parede de aparência estranha
Mysterious statue;Estátua misteriosa
Net;Líquido
Nightmare;Pesadelo
Oak wardrobe;Armário de carvalho
Ogre Coffin;Caixão de Ogro
Mysterious pool;Piscina misteriosa
Navigator's table;Mesa do navegador
Noticeboard;Quadro de avisos
Oak wall decoration;Decoração de parede de carvalho
Oaknock statue;Estátua de Oaknock
Obstacle pipe;Tubo de obstáculo
Nettles;Urtigas
Nightmare zone display;Exibição da zona de pesadelo
Notice;Perceber
Oak prize chest;Baú de prêmios em carvalho
Oaknock's exchanger;Trocador de Oaknock
Oaknock's machine;Máquina de Oaknock
Obelisk of Air;Obelisco do Ar
Occupied Cormorant perch;Poleiro de cormorão ocupado
Ogre barricade;Barricada de ogro
Music Scores;Partituras musicais
Musical space;Espaço musical
Mystical mirror;Espelho místico
Mythic Statue;Estátua Mítica
Note;Observação
Oak scratching post;Poste para arranhar carvalho
Oak table;Mesa de carvalho
Nightmare Berries;Bagas do Pesadelo
Nightmare Topiary;Topiária do Pesadelo
Obsidian bench;Banco de obsidiana
Mystic portal;Portal místico
Nails;Unhas
Notices;Avisos
Novice Flag;Bandeira de Novato
Obelisk of Earth;Obelisco da Terra
Musty bookshelf;Estante mofada
Mysterious ruins;Ruínas misteriosas
Mystical barrier (orange);Barreira mística (laranja)
Mythical cape;Capa mítica
Nature rift;Fenda da natureza
Neutral Barrier;Barreira Neutra
Oak outfit stand;Suporte para roupas de carvalho
Oak tree stump;Toco de carvalho
Obelisk;Obelisco
Official Order of Construction;Ordem Oficial de Construção
Mysterious pipe;Cachimbo misterioso
Nature house;Casa da natureza
Ned's Table;Mesa do Ned
Nest;Ninho
Nightmare Blossom;Flor do Pesadelo
Oak bench;Banco de carvalho
Oak drawers;Gavetas de carvalho
Oak trophy case;Estojo de troféus de carvalho
Obstacle;Obstáculo
Mushy Bed;Cama mole
Narrow wall;Parede estreita
Oak;Carvalho
Oak feeder;Alimentador de carvalho
Oaknock's Machine;Máquina de Oaknock
Obsidian fence;Cerca de obsidiana
Office table;Mesa de escritório
Mysterious stone;Pedra misteriosa
Newspapers;Jornais
Nightmare display;Exibição de pesadelo
Nine;Nove
Node;Nó
Oak chair;Cadeira de carvalho
My life;Minha vida
Narrow gap;Lacuna estreita
Oak Tree;Carvalho
Oak birdhouse (empty);Casa de passarinho de carvalho (vazia)
Oak chest;Baú de carvalho
Oak tree;Carvalho
Ogre bed;Cama de ogro
Notice board;Quadro de avisos
Occupied perch;Poleiro ocupado
Odd markings;Marcações estranhas
Mystical door;Porta mística
Mushtree;Cogumelo
Music Stand;Estante de partitura
Mystical barrier;Barreira mística
Nothing;Nada
Novice flag;Bandeira de novato
Ogre bench;Banco ogro
Mysterious glow;Brilho misterioso
Mystical barrier (red);Barreira mística (vermelha)
Net trap;Armadilha de rede
Oak cape rack;Cabide de carvalho
Obelisk of Fire;Obelisco de Fogo
Obsidian fence post;Poste de cerca de obsidiana
Obstacle net;Rede de obstáculos
Ogre Drums;Tambores Ogro
Old Crane;Guindaste Velho
Old Shrine;Antigo Santuário
Old tools;Ferramentas antigas
Old wall;Parede antiga
Olmic pillar;Pilar Olmico
Opulent rug;Tapete opulento
Orange tree;Laranjeira
Ore crate;Caixa de minério
Ornate banner stand;Suporte de banner ornamentado
Ornate kalphite combat dummy;Boneco de combate de kalphite ornamentado
Ornate railing;Corrimão ornamentado
Palm tree;Palmeira
Onion seeds;Sementes de cebola
Open hot vent door;Abra a porta de ventilação quente
Open trapdoor;Alçapão aberto
Opulent table;Mesa opulenta
Ornamental fountain;Fonte ornamental
Palm;Palma
Old Memorial;Memorial Antigo
Old tree;Árvore velha
Operation table;Mesa de operação
Ornament;Ornamento
Ornamental anvil;Bigorna ornamental
Ornate combat dummy;Boneco de combate ornamentado
Ornate vampyre combat dummy;Boneco de combate de vampiro ornamentado
Panning point;Ponto panorâmico
Ogre fire;Fogo de ogro
Old fire pit;Fogueira antiga
Operation chair;Cadeira de operação
Ornate vase;Vaso ornamentado
Overhanging rock;Rocha pendente
Overload potion;Poção de sobrecarga
Old ruin entrance;Entrada antiga da ruína
Old sacks;Sacos velhos
Oozing barrier;Barreira de gotejamento
Orange door;Porta laranja
Ornate dragon combat dummy;Boneco de combate de dragão ornamentado
Painting;Pintura
Panning tray;Bandeja panorâmica
Old bookshelf;Estante antiga
Onion plant;Planta de cebola
Opening;Abertura
Orchids;Orquídeas
Ornate kurask combat dummy;Boneco de combate kurask ornamentado
Ornate undead combat dummy;Boneco de combate morto-vivo ornamentado
Output Tap;Toque de saída
Oven;Forno
Pack;Pacote
Old well;Bem velho
One;Um
Opened gold chest;Baú de ouro aberto
Operating Table;Mesa Operacional
Ore stones;Pedras de minério
Paladin;Paladino
Ore sack;Saco de minério
Olaf's boat;O barco do Olavo
Old Stall;Barraca antiga
Oojimaflip;Oojimaflip
Open Chest;Baú aberto
Open Door;Porta aberta
Ornamental globe;Globo ornamental
Owl Statue;Estátua da Coruja
Oil lamp;Lâmpada a óleo
Onion;Cebola
Open Cupboard;Armário aberto
Operating table;Mesa cirúrgica
Ore table;Mesa de minério
Ornate candle;Vela ornamentada
Palm tree stump;Toco de palmeira
Open statue;Estátua aberta
Ore vein;Veio de minério
Ornate league statue;Estátua ornamentada da liga
Ornate pool of Rejuvenation;Piscina ornamentada de rejuvenescimento
Orange tree stump;Toco de laranjeira
Ornate Jewellery Box;Caixa de joias ornamentada
Ornate lockbox;Cofre ornamentado
Ogre spit-roast;Ogro assado no espeto
Ogre stone door;Porta de pedra ogro
Old Bookshelf;Estante antiga
Old log;Registro antigo
Onion basket;Cesta de cebola
Ornate trophy pedestal;Pedestal de troféu ornamentado
Ornate wilderness combat dummy;Boneco de combate ornamentado na selva
Outfit stand space;Espaço para estande de roupas
Painting stand;Suporte de pintura
Panel;Painel
Ominous Fishing Spot;Local de pesca sinistro
Open chest;Peito aberto
Open gate;Portão aberto
Orb;Esfera
Pagoda Fungus;Fungo Pagode
Old crane;Guindaste antigo
Orchid;Orquídea
Organ;Órgão
Old axe;Machado velho
Old passageway;Passagem antiga
Orrery;Planetário
Otherworldly garden;Jardim de outro mundo
Otherworldly theme;Tema de outro mundo
Our lives;Nossas vidas
Pedestal;Pedestal
Peephole;Olho mágico
Penance Fighter statue;Estátua do Lutador da Penitência
Pendulum;Pêndulo
Pie stall;Barraca de torta
Pipe machine;Máquina de tubos
Piping;Tubulação
Passage;Passagem
Patched Wall;Parede remendada
Penance Ranger statue;Estátua do Ranger da Penitência
Pew;Banco
Phren Roots;Raízes de Phren
Pigeon;Pombo
Pile of bricks;Pilha de tijolos
Pillar;Pilar
Pine;Pinho
Pet list;Lista de animais de estimação
Pile of fish;Pilha de peixe
Pin;Alfinete
Pirate map;Mapa pirata
Pit;Poço
Plant;Plantar
Paper;Papel
Passageway;Passagem
Penance Healer statue;Estátua do Curandeiro da Penitência
Picnic bench;Banco de piquenique
Plantpot;Vaso para plantas
Papaya tree;Árvore de mamão
Pentamid Pile;Pilha de Pentamida
Petrified Mushtree;Cogumelo Petrificado
Petrified Spine Plant;Planta Espinhal Petrificada
Piano stool;Banqueta de piano
Pile of Rock;Pilha de Pedra
Pile of rubble.;Pilha de escombros.
Platform edge;Borda da plataforma
Partial fence;Cerca parcial
Pebbles;Seixos
Perch;Poleiro
Pile of Fishbowls;Pilha de aquários
Pile of canes;Pilha de bengalas
Pinboard;Quadro de anúncios
Pirate Captain;Capitão Pirata
Pile of rubble;Pilha de escombros
Pillar of Light;Pilar de Luz
Pirate Pete;Pirata Pete
Papaya tree stump;Toco de mamão
Penance Queen spawn statue;Estátua de spawn da Rainha da Penitência
Pet list space;Espaço para lista de animais de estimação
Pirate Flag;Bandeira Pirata
Partially broken bridge;Ponte parcialmente quebrada
Pedestal space;Espaço de pedestal
Pickaxe;Picareta
Pile of rocks;Pilha de pedras
Pineapple plant;Planta de abacaxi
Pitcher plant;Planta de jarro
Penance Runner statue;Estátua do Corredor da Penitência
Pet house space;Espaço casinha para animais de estimação
Platform support;Suporte de plataforma
Pear tree;Pereira
Pet feeder space;Espaço para comedouro para animais de estimação
Pirate Sign;Sinal Pirata
Plant door;Porta da planta
Plaque;Placa
Play blocks;Jogar blocos
Petrified Large Mushroom;Cogumelo Grande Petrificado
Petrified Pufferfish;Baiacu petrificado
Picket fence;Cerca de estacas
Pile of skulls;Pilha de crânios
Pipes;Tubos
Piscarilius statue;Estátua de Piscarílio
Plant Fossil Display;Exibição de fósseis de plantas
Planter;Plantador
Parasol;Guarda-sol
Pedals;Pedais
Petrified Pitcher;Jarro petrificado
Phren Roots (Depleted);Raízes de Phren (esgotadas)
Picture;Foto
Pile of rope;Pilha de corda
Pineapple Plant;Planta de abacaxi
Pink rose bush patch;Mancha de roseira rosa
